Season,Home Team,Home Team Goals, Away Team Goals, Away Team,
2015,Newcastle,2,2,Chelsea,"
"
2015,Leicester,2,5,Arsenal,"
"
2015,Liverpool,3,2,Aston Villa,"
"
2015,Man Utd,3,0,Sunderland,"
"
2015,Southampton,3,1,Swansea,"
"
2015,Stoke,2,1,Bournemouth,"
"
2015,West Ham,2,2,Norwich,"
"
2015,Spurs,4,1,Man City,"
"
2015,Liverpool,1,1,Norwich,"
"
2015,Southampton,2,3,Man Utd,"
"
2015,Spurs,1,0,Crystal Palace,"
"
2015,Man City,1,2,West Ham,"
"
2015,Aston Villa,0,1,West Brom,"
"
2015,Bournemouth,2,0,Sunderland,"
"
2015,Newcastle,1,2,Watford,"
"
2015,Stoke,2,2,Leicester,"
"
2015,Swansea,0,0,Everton,"
"
2015,Chelsea,2,0,Arsenal,"
"
2015,West Ham,2,0,Newcastle,"
"
2015,Leicester,3,2,Aston Villa,"
"
2015,Sunderland,0,1,Spurs,"
"
2015,Man Utd,3,1,Liverpool,"
"
2015,Arsenal,2,0,Stoke,"
"
2015,Crystal Palace,0,1,Man City,"
"
2015,Norwich,3,1,Bournemouth,"
"
2015,Watford,1,0,Swansea,"
"
2015,West Brom,0,0,Southampton,"
"
2015,Everton,3,1,Chelsea,"
"
2015,Swansea,2,1,Man Utd,"
"
2015,Southampton,3,0,Norwich,"
"
2015,Spurs,0,0,Everton,"
"
2015,Aston Villa,2,2,Sunderland,"
"
2015,Bournemouth,1,1,Leicester,"
"
2015,Chelsea,1,2,Crystal Palace,"
"
2015,Liverpool,0,3,West Ham,"
"
2015,Man City,2,0,Watford,"
"
2015,Stoke,0,1,West Brom,"
"
2015,Newcastle,0,1,Arsenal,"
"
2015,Arsenal,0,0,Liverpool,"
"
2015,Everton,0,2,Man City,"
"
2015,Watford,0,0,Southampton,"
"
2015,West Brom,2,3,Chelsea,"
"
2015,Crystal Palace,2,1,Aston Villa,"
"
2015,Leicester,1,1,Spurs,"
"
2015,Norwich,1,1,Stoke,"
"
2015,Sunderland,1,1,Swansea,"
"
2015,West Ham,3,4,Bournemouth,"
"
2015,Man Utd,0,0,Newcastle,"
"
2015,Liverpool,1,0,Bournemouth,"
"
2015,Man City,3,0,Chelsea,"
"
2015,Crystal Palace,1,2,Arsenal,"
"
2015,Sunderland,1,3,Norwich,"
"
2015,Swansea,2,0,Newcastle,"
"
2015,Spurs,2,2,Stoke,"
"
2015,Watford,0,0,West Brom,"
"
2015,West Ham,1,2,Leicester,"
"
2015,Southampton,0,3,Everton,"
"
2015,Aston Villa,0,1,Man Utd,"
"
2015,West Brom,0,3,Man City,"
"
2015,Stoke,0,1,Liverpool,"
"
2015,Arsenal,0,2,West Ham,"
"
2015,Newcastle,2,2,Southampton,"
"
2015,Chelsea,2,2,Swansea,"
"
2015,Bournemouth,0,1,Aston Villa,"
"
2015,Everton,2,2,Watford,"
"
2015,Leicester,4,2,Sunderland,"
"
2015,Norwich,1,3,Crystal Palace,"
"
2015,Man Utd,1,0,Spurs,"
"
