MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides
12494,Man Utd,3,1,Bournemouth,66.3,33.7,5,0,12,7,846,510,677,342,17,16,11,10,7,1,4,2
12485,Arsenal,4,0,Aston Villa,59.6,40.4,7,2,16,5,774,591,609,414,14,13,12,26,5,4,0,0
12486,Chelsea,1,1,Leicester,54,46,4,5,17,18,753,668,525,444,26,24,26,16,7,6,8,0
12487,Everton,3,0,Norwich,45.5,54.5,8,2,15,11,599,650,382,445,18,13,29,28,4,11,1,1
12488,Newcastle,5,1,Spurs,38.5,61.5,10,5,19,18,538,739,351,551,20,21,35,11,3,8,1,1
12489,Southampton,4,1,Crystal Palace,49.8,50.2,5,4,19,16,612,584,396,401,15,11,40,19,2,5,2,1
12490,Stoke,2,1,West Ham,46.7,53.3,4,8,7,20,542,599,355,401,28,10,27,19,4,10,6,2
12491,Swansea,1,1,Man City,50,50,1,5,4,18,676,672,494,496,13,17,27,16,4,4,2,2
12492,Watford,2,2,Sunderland,54.2,45.8,6,4,21,6,615,547,401,346,13,20,26,39,7,4,1,4
12493,West Brom,1,1,Liverpool,32.6,67.4,1,3,13,7,492,813,285,612,22,23,25,23,7,5,1,0
12482,Liverpool,1,1,Chelsea,55.3,44.7,9,7,28,13,768,666,546,446,25,23,19,21,7,3,1,2
12483,Norwich,4,2,Watford,55.6,44.4,6,7,18,12,716,586,495,399,8,29,19,13,5,1,5,3
12484,Sunderland,3,0,Everton,37.7,62.3,8,6,14,17,545,774,352,596,12,19,34,24,5,5,2,1
12481,West Ham,3,2,Man Utd,41.3,58.7,6,2,20,3,538,659,324,473,18,25,14,26,6,2,1,2
12478,Liverpool,2,0,Watford,66.1,33.9,5,3,19,14,756,487,563,271,22,17,24,25,8,8,2,1
12479,Man City,2,2,Arsenal,57.2,42.8,3,2,14,5,747,618,505,383,22,26,28,32,7,2,3,3
12480,Spurs,1,2,Southampton,69.8,30.2,6,2,20,10,803,461,586,257,14,26,25,45,10,2,1,4
12474,Leicester,3,1,Everton,41.3,58.7,8,5,31,9,562,700,340,504,17,24,19,19,12,4,2,1
12471,Aston Villa,0,0,Newcastle,45.9,54.1,0,3,2,9,625,693,409,455,21,17,32,33,0,5,1,1
12472,Bournemouth,1,1,West Brom,68.3,31.7,4,4,12,12,776,463,567,255,24,28,19,16,5,3,1,3
12473,Crystal Palace,2,1,Stoke,57.8,42.2,4,3,17,12,585,462,390,293,8,16,10,27,4,3,1,3
12476,Sunderland,3,2,Chelsea,31.4,68.6,4,8,14,9,450,821,287,652,15,15,9,23,3,3,6,1
12477,West Ham,1,4,Swansea,51.9,48.1,7,6,25,13,622,617,427,408,10,16,11,31,13,3,3,2
12475,Norwich,0,1,Man Utd,33.1,66.9,2,2,8,15,466,767,272,579,14,19,18,18,1,6,0,1
12470,Chelsea,2,2,Spurs,47.3,52.7,5,5,13,16,588,616,366,408,24,23,22,19,7,8,3,0
12468,Southampton,4,2,Man City,40.2,59.8,7,5,14,6,594,804,384,576,38,24,13,26,8,2,3,0
12467,Man Utd,1,1,Leicester,70.5,29.5,6,3,21,14,822,480,592,248,14,25,19,36,6,5,1,0
12469,Swansea,3,1,Liverpool,47.6,52.4,9,3,18,11,678,728,480,533,20,20,12,27,4,7,1,0
12461,Arsenal,1,0,Norwich,68.6,31.4,3,3,14,12,899,494,697,305,17,17,21,23,7,3,3,2
12462,Everton,2,1,Bournemouth,56.5,43.5,5,2,12,16,780,657,608,455,19,17,20,31,3,5,1,1
12463,Newcastle,1,0,Crystal Palace,49.5,50.5,4,3,10,9,612,617,394,399,27,18,31,21,4,8,0,1
12464,Stoke,1,1,Sunderland,53.6,46.4,3,5,11,14,567,483,369,306,15,15,28,15,2,8,1,1
12465,Watford,3,2,Aston Villa,64.7,35.3,6,2,18,7,778,527,588,332,14,17,14,32,8,4,1,3
12466,West Brom,0,3,West Ham,40.9,59.1,5,4,15,8,529,703,332,493,13,16,19,37,8,6,3,1
12460,Spurs,1,1,West Brom,66.5,33.5,2,3,18,16,755,456,537,260,19,20,35,26,9,7,1,1
12458,Leicester,4,0,Swansea,38.3,61.7,9,1,18,9,627,868,392,623,30,28,25,19,4,6,3,1
12459,Sunderland,0,0,Arsenal,29.8,70.2,3,7,12,20,463,859,268,659,13,6,33,21,7,7,5,4
12454,Aston Villa,2,4,Southampton,42,58,7,7,16,17,606,738,386,536,21,21,28,17,6,11,0,4
12455,Bournemouth,1,4,Chelsea,45.3,54.7,4,4,13,16,645,759,446,560,20,24,19,22,10,7,0,3
12456,Liverpool,2,2,Newcastle,67,33,4,3,13,6,841,547,609,296,24,31,21,47,5,4,3,1
12457,Man City,4,0,Stoke,53.2,46.8,6,2,11,14,654,622,501,446,16,18,12,17,9,4,1,2
12453,Arsenal,2,0,West Brom,71.4,28.6,7,1,16,8,915,434,723,274,12,17,15,12,2,6,3,0
12450,Liverpool,4,0,Everton,66.6,33.4,13,0,37,3,813,493,595,311,19,17,12,32,9,1,2,1
12451,Man Utd,2,0,Crystal Palace,66.3,33.7,10,0,16,5,826,542,633,321,29,23,14,20,10,2,3,1
12452,West Ham,3,1,Watford,46.2,53.8,7,4,18,7,597,634,376,438,18,25,13,16,4,2,2,2
12449,Newcastle,1,1,Man City,43.2,56.8,3,5,5,9,626,739,393,522,19,27,33,30,5,3,2,3
12448,Stoke,0,4,Spurs,51.2,48.8,2,6,12,23,617,622,410,396,25,24,24,24,5,3,0,1
12445,Arsenal,1,1,Crystal Palace,71.7,28.3,6,3,21,7,936,476,737,278,16,17,16,35,10,5,2,2
12446,Bournemouth,1,2,Liverpool,51.3,48.7,5,6,18,19,720,716,503,492,22,21,9,18,5,4,2,3
12447,Leicester,2,2,West Ham,43.5,56.5,2,4,6,19,511,616,332,407,14,12,33,18,0,5,2,0
12439,Chelsea,0,3,Man City,51.8,48.2,4,8,11,11,719,733,529,509,20,13,8,33,11,3,5,1
12440,Everton,1,1,Southampton,49.3,50.7,2,4,7,17,593,580,392,378,11,15,51,16,3,10,0,3
12441,Man Utd,1,0,Aston Villa,66.2,33.8,4,1,13,7,749,506,581,294,18,21,10,23,14,3,4,0
12442,Newcastle,3,0,Swansea,34.5,65.5,7,1,12,11,509,772,290,561,22,20,18,16,3,7,4,0
12444,West Brom,0,1,Watford,56.7,43.3,4,4,17,11,661,554,425,349,13,17,18,31,9,3,1,0
12443,Norwich,0,3,Sunderland,64,36,7,3,19,8,603,454,404,240,9,14,18,79,14,0,3,5
12438,Crystal Palace,0,0,Everton,56.9,43.1,7,5,19,9,747,610,510,399,23,16,30,46,10,7,0,0
12435,Liverpool,4,1,Stoke,52.9,47.1,6,3,14,11,672,613,485,429,18,19,16,20,6,3,1,3
12437,Spurs,3,0,Man Utd,47,53,8,1,16,5,635,657,395,442,27,24,31,21,2,7,3,3
12436,Sunderland,0,2,Leicester,44.8,55.2,1,7,15,16,619,661,339,408,35,24,66,36,1,7,2,1
12430,Man City,2,1,West Brom,62.1,37.9,4,2,13,13,737,514,548,316,11,21,27,24,8,8,3,1
12428,Aston Villa,1,2,Bournemouth,41.4,58.6,1,3,6,12,563,745,381,548,22,13,20,29,3,8,2,1
12429,Crystal Palace,1,0,Norwich,52,48,7,4,13,13,527,496,315,301,11,7,23,35,10,4,3,2
12431,Southampton,3,1,Newcastle,50.6,49.4,6,3,20,5,640,619,429,426,15,20,21,31,11,2,2,1
12432,Swansea,1,0,Chelsea,39.3,60.7,6,2,12,8,633,830,403,616,26,17,32,15,1,9,1,3
12433,Watford,1,1,Everton,41.9,58.1,4,7,13,12,509,651,326,455,19,14,19,26,7,6,3,3
12434,West Ham,3,3,Arsenal,39.3,60.7,7,6,19,11,562,769,355,566,19,18,27,17,7,4,2,1
12427,Man Utd,1,0,Everton,54.4,45.6,2,1,10,7,718,642,514,428,13,30,23,21,5,5,2,3
12426,Leicester,1,0,Southampton,46,54,4,2,11,10,575,650,364,407,22,20,41,38,7,8,2,2
12421,Liverpool,1,1,Spurs,42.2,57.8,7,5,15,18,604,772,367,520,29,17,28,28,12,9,0,1
12418,Arsenal,4,0,Watford,69,31,12,3,19,7,960,514,773,328,13,20,25,23,8,3,1,3
12420,Bournemouth,0,4,Man City,45.6,54.4,2,7,11,15,651,735,459,557,17,27,20,17,4,4,2,4
