MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9325,NUFC,2,0,CHE,39.1,60.9,8,2,15,13,563,741,344,535,10,18,48,32,3,8,3,4,14,836.297,151.866,225.431,459.0,14,914.756,225.943,274.813,414.0
9317,CHE,2,1,MCFC,45.5,54.5,4,6,12,15,623,670,396,480,26,22,31,20,3,6,4,2,14,907.132,171.494,323.638,412.0,14,905.502,87.835,409.009,408.658
9319,SWAN,0,0,WHU,67,33,5,4,10,15,797,481,578,275,17,12,32,33,9,6,2,2,13,838.314,254.464,199.85,384.0,14,810.597,170.808,287.232,352.557
9320,TOT,1,0,HUL,66.2,33.8,6,4,15,10,768,462,542,268,19,27,28,23,6,4,1,1,14,863.614,134.026,318.934,410.654,14,774.103,141.624,212.268,420.211
9318,SUN,2,1,NUFC,48.3,51.7,4,4,8,16,542,591,341,375,16,8,42,34,5,3,4,2,14,804.115,150.0,291.835,362.28,14,831.016,115.78,268.236,447.0
9316,SOT,2,0,FUL,66.2,33.8,6,0,20,1,840,532,634,312,28,16,21,30,10,3,4,3,13,833.894,155.0,300.894,378.0,14,786.533,208.833,158.2,419.5
9311,AVL,0,2,EVE,46.9,53.1,3,4,14,15,596,675,383,447,15,26,17,39,8,6,2,3,13,804.144,236.648,202.496,365.0,14,870.948,140.52,334.428,396.0
9313,LIV,4,1,WBA,54.8,45.2,7,3,18,15,737,608,514,416,21,18,26,18,3,9,1,0,14,886.305,171.813,240.736,473.756,14,789.029,166.475,228.068,394.486
9314,MUFC,3,2,STK,66.7,33.3,5,5,19,10,800,475,565,282,11,18,22,39,12,2,2,0,14,889.528,196.008,308.376,385.144,14,813.208,144.325,257.507,411.376
9315,NOR,0,0,CAR,60.5,39.5,10,4,31,6,746,565,518,338,9,17,16,56,13,2,2,3,14,821.567,76.976,369.591,375.0,14,786.7,178.5,251.2,357.0
9312,CRY,0,2,ARS,37.5,62.5,4,4,13,10,601,880,386,665,25,26,24,21,4,3,2,2,14,780.356,95.88,328.476,356.0,14,886.767,166.0,303.567,417.2
9310,CRY,1,4,FUL,45.9,54.1,4,6,14,9,581,664,374,453,22,27,11,31,5,7,2,1,14,782.838,82.04,293.284,407.514,14,792.803,199.147,161.656,432.0
9309,AVL,0,2,TOT,37.1,62.9,2,6,15,13,537,746,310,531,17,18,29,22,4,7,2,1,14,804.2,213.348,226.852,364.0,14,866.62,142.552,324.187,399.881
9308,WHU,1,3,MCFC,37.9,62.1,2,9,11,16,544,804,344,604,18,22,19,37,5,5,1,1,14,806.776,144.15,295.946,366.68,14,903.508,148.394,417.288,337.826
9301,ARS,4,1,NOR,56.3,43.7,11,6,20,12,828,695,637,503,21,13,12,28,10,1,1,2,14,893.203,193.332,297.871,402.0,13,822.0,84.15,362.85,375.0
9302,CHE,4,1,CAR,64.9,35.1,7,3,20,13,753,476,554,280,15,14,33,31,6,9,3,1,14,906.581,172.56,332.0,402.021,14,780.366,122.07,301.296,357.0
9303,EVE,2,1,HUL,66.9,33.1,6,1,14,9,848,496,633,304,19,24,28,25,5,7,1,1,14,867.558,156.046,315.512,396.0,14,794.733,202.362,253.26,339.111
9304,MUFC,1,1,SOT,46.4,53.6,5,7,12,18,656,664,393,454,18,27,48,23,4,4,8,2,14,884.364,185.297,283.414,415.653,14,833.542,107.728,273.814,452.0
9306,STK,0,0,WBA,49.7,50.3,3,5,9,12,607,639,401,399,20,14,25,30,6,6,2,2,14,818.649,101.791,328.977,387.881,14,793.08,195.664,229.378,368.038
9307,SWAN,4,0,SUN,63.9,36.1,6,1,14,6,792,511,628,347,10,20,12,16,7,2,2,5,14,837.93,242.43,216.5,379.0,14,807.636,75.822,370.814,361.0
