MId,Home_Team,Home_Team_Goals,Away_Team_Goals,Away_Team,Home_Poss,Away_Poss,Home_ShotsT,Away_ShotsT,Home_Shots,Away_Shots,Home_Touches,Away_Touches,Home_Passes,Away_Passes,Home_Tackles,Away_Tackles,Home_Clearances,Away_Clearances,Home_Corners,Away_Corners,Home_Offsides,Away_Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9781,Arsenal,2,1,QPR,55.9,44.1,5,2,15,16,750,607,539,422,15,26,19,20,6,2,3,0,13,876.31,315.044,161.65,399.616,14,813.421,91.77,299.11,422.541
9782,Burnley,0,1,Liverpool,47.6,52.4,0,3,16,10,683,754,451,529,15,27,29,56,8,2,0,4,14,781.603,144.759,279.844,357,14,853.086,303.866,236,313.22
9784,Crystal Palace,1,3,Southampton,42.9,57.1,4,6,12,13,569,738,374,520,13,23,20,47,8,4,2,2,14,807.579,70.467,354.512,382.6,14,831.272,152.78,231,447.492
9785,Everton,0,1,Stoke,61.9,38.1,5,2,16,12,756,564,548,333,14,20,22,53,9,3,3,3,14,856.874,234,233.874,389,14,834.392,226.716,228.676,379
9786,Leicester,1,2,Spurs,49.6,50.4,6,3,22,8,645,681,419,457,21,20,30,44,11,1,0,3,14,765.489,143.833,280.96,340.696,14,860.167,183.767,280.4,396
9787,Man Utd,3,1,Newcastle,61.9,38.1,4,4,9,8,741,524,570,346,18,13,23,23,4,5,4,1,14,874.441,336.44,226.565,311.436,14,799.988,207.903,244.7,347.385
9788,Sunderland,1,3,Hull,47.6,52.4,3,5,12,13,622,719,446,500,17,14,19,41,10,4,0,0,14,809.976,76,353.164,380.812,14,782.87,146.958,280.438,355.474
9789,Swansea,1,0,Aston Villa,43.4,56.6,2,3,7,11,616,773,462,602,9,20,26,22,4,0,3,2,14,828.382,157.803,295.579,375,13,831.424,190.5,226.424,414.5
9790,West Brom,1,3,Man City,47.9,52.1,6,5,18,9,660,712,459,513,16,21,17,25,10,6,4,4,14,802.098,169.2,222.733,410.165,14,884.193,60.9,401.893,421.4
9783,Chelsea,2,0,West Ham,64.7,35.3,9,0,28,6,792,508,577,300,21,15,19,31,8,6,1,2,14,918.488,162.448,344.04,412,14,817.822,287.752,162.07,368
9780,Stoke,0,2,Chelsea,50.9,49.1,2,6,13,15,673,695,441,451,17,37,20,38,6,5,1,2,14,832.543,241.64,157.959,432.944,14,913.714,85,406.898,421.816
9778,Liverpool,2,2,Arsenal,63.5,36.5,10,3,27,7,835,570,610,345,32,25,23,21,10,6,0,1,13,847.366,325.95,222.116,299.3,14,871.194,235.88,244.675,390.639
9779,Newcastle,0,1,Sunderland,51.8,48.2,7,3,15,16,606,584,400,381,15,29,16,21,7,1,1,4,14,799.794,183.155,254.639,362,14,807.87,140.8,300.07,367
9771,Aston Villa,1,1,Man Utd,35.3,64.7,4,9,10,16,496,751,329,588,9,10,32,9,3,9,2,2,13,830.889,218.897,160.214,451.778,14,888.008,353.748,259.76,274.5
9772,Hull,0,1,Swansea,56.6,43.4,3,3,11,13,685,613,484,369,20,16,12,67,4,5,3,4,14,794.68,247.024,215,332.656,14,810.524,102.947,340.677,366.9
9774,QPR,3,2,West Brom,43.4,56.6,7,6,17,16,565,643,337,434,9,13,64,30,5,11,4,1,14,806.529,139.23,301.301,365.998,13,791.315,151.534,147,492.781
9775,Southampton,3,0,Everton,43.8,56.2,3,4,11,13,581,704,373,481,38,15,27,21,4,6,4,2,13,819.359,217.95,140.638,460.771,11,840,234,210,396
9776,Spurs,2,1,Burnley,65.2,34.8,6,5,23,9,813,517,613,316,21,12,25,31,9,6,2,6,14,859.414,160.067,303.533,395.814,14,780.745,143.989,279.756,357
9777,West Ham,2,0,Leicester,47.8,52.2,2,4,10,10,593,602,347,382,16,18,52,42,9,4,3,1,14,819.599,297.891,154.475,367.233,14,769.323,93.817,350.654,324.852
9773,Man City,3,0,Crystal Palace,72.5,27.5,3,1,15,6,921,459,740,273,18,21,30,20,8,6,3,1,14,892.255,66.729,423.526,402,14,811.381,52.839,387.542,371
9770,Everton,3,1,QPR,53.5,46.5,5,4,13,17,671,610,464,391,31,21,35,22,1,8,4,4,14,858.668,223.316,239.352,396,13,809.168,24.08,415.088,370
9769,Swansea,1,2,Spurs,53.5,46.5,3,4,15,10,724,643,471,422,26,26,35,33,7,9,5,0,14,820.389,158.776,299.611,362.002,14,859.588,209.138,255.45,395
9768,Man Utd,3,0,Liverpool,54.7,45.3,6,9,11,19,721,637,514,416,35,18,20,21,2,7,1,2,14,880.556,308.074,330.669,241.813,14,844.178,305,233.756,305.422
9761,Arsenal,4,1,Newcastle,51.3,48.7,4,4,17,10,710,646,467,437,26,23,25,24,9,6,3,1,14,861.55,227.88,237.67,396,14,804.022,146.864,297.158,360
9762,Burnley,1,0,Southampton,40.2,59.8,2,4,7,15,550,685,330,485,12,16,39,16,2,4,2,2,12,780.822,144,292.282,344.54,13,834.282,156.124,296.158,382
9763,Chelsea,2,0,Hull,59.6,40.4,3,0,12,8,731,572,538,358,18,28,19,44,5,4,0,1,14,911.289,169.133,322.165,419.991,14,792.6,124.193,310.519,357.888
9764,Crystal Palace,1,1,Stoke,43.9,56.1,3,3,10,7,530,649,316,412,25,21,31,44,9,8,1,0,14,814.2,78.288,364.912,371,12,832.833,281.88,99.953,451
9765,Leicester,0,1,Man City,42.7,57.3,1,4,7,9,569,723,358,515,15,15,15,46,8,2,2,9,14,771.523,90.719,334.804,346,14,869.856,138.786,327.078,403.992
9766,Sunderland,1,1,West Ham,56.9,43.1,4,7,13,19,640,543,444,335,14,11,26,32,6,8,2,1,13,808.933,95.636,293,420.297,12,819,300,152,367
9767,West Brom,1,0,Aston Villa,48.6,51.4,5,2,13,7,622,644,397,439,19,27,22,33,4,2,1,2,12,792.11,168.206,147,476.904,14,825.399,163.709,288.892,372.798
9760,Southampton,1,2,Man Utd,51.9,48.1,4,2,15,3,703,670,510,478,28,27,10,33,5,1,4,1,13,829.828,165.588,288.24,376,14,884.085,255.065,359.607,269.413
9758,Aston Villa,2,1,Leicester,64.8,35.2,7,4,16,10,770,484,547,284,12,22,44,24,5,5,6,1,14,821.799,154,284.723,383.076,14,777.398,141.733,282.665,353
9759,West Ham,3,1,Swansea,55.8,44.2,7,2,15,11,627,545,405,333,9,22,29,52,7,4,3,1,14,821.198,301.5,158.104,361.594,14,821.701,171.859,274.739,375.103
9753,Man City,1,0,Everton,51.3,48.7,3,2,19,9,709,687,485,467,22,16,27,38,11,7,2,4,14,870.646,89.772,378.874,402,13,839.802,109.484,262.318,468
9751,Hull,0,0,West Brom,49.3,50.7,2,3,12,6,672,687,481,515,17,16,21,29,3,2,2,1,14,791.92,144.288,358.885,288.747,14,805.156,137.802,214.786,452.568
9752,Liverpool,0,0,Sunderland,53.2,46.8,2,1,15,7,685,636,457,412,24,18,32,38,5,7,1,2,13,862.116,302.742,247.374,312,14,805.578,72,306.784,426.794
9755,QPR,2,0,Burnley,51,49,6,3,11,15,631,596,403,378,13,18,68,41,3,11,2,2,14,813.329,128.31,314.019,371,14,780.578,146.992,276.586,357
9756,Stoke,3,2,Arsenal,42.5,57.5,4,6,13,14,516,653,332,453,20,14,25,10,3,9,3,3,14,833.803,292.419,109.509,431.875,14,837.292,180,320,337.292
9757,Spurs,0,0,Crystal Palace,67.6,32.4,3,4,14,16,839,505,605,274,29,31,43,22,2,12,1,4,14,856.024,253.931,211.093,391,12,815,75,369,371
9754,Newcastle,2,1,Chelsea,33.5,66.5,3,8,10,26,542,848,314,627,23,25,51,31,1,10,1,4,14,811.068,181.647,260.227,369.194,14,913.802,163.712,312.008,438.082
9747,Arsenal,1,0,Southampton,58.6,41.4,8,1,19,6,785,597,539,382,24,22,16,40,9,4,2,1,13,849.256,177.44,298.316,373.5,14,837.822,152.4,254.606,430.816
9748,Chelsea,3,0,Spurs,38.7,61.3,8,2,12,10,593,811,380,604,17,31,18,23,1,6,3,2,14,913.694,167.72,336.908,409.066,14,858.958,202.186,262.772,394
9749,Everton,1,1,Hull,57.5,42.5,5,1,13,8,745,577,526,384,16,28,31,29,6,4,1,0,13,861.977,158,307.977,396,14,791.233,102.181,401.271,287.781
9750,Sunderland,1,4,Man City,35.5,64.5,2,4,8,15,572,941,417,762,17,21,10,21,2,0,1,1,13,807.113,100.004,311.712,395.397,14,881.622,126.81,364.812,390
9742,Crystal Palace,0,1,Aston Villa,46.2,53.8,5,3,17,5,602,654,341,427,15,40,30,54,8,2,3,2,13,813.511,145.5,297.814,370.197,13,821.678,227,222.678,372
9746,West Brom,1,2,West Ham,57.6,42.4,5,6,22,12,693,576,487,362,10,18,20,65,7,3,0,3,14,797.974,227.85,193.39,376.734,14,816.501,302.779,126.15,387.572
9741,Burnley,1,1,Newcastle,42.2,57.8,2,4,12,11,527,658,324,444,18,18,39,33,2,5,2,2,13,780.944,143.944,280,357,14,796.668,125.524,315.144,356
9743,Leicester,1,3,Liverpool,46.6,53.4,4,3,20,11,594,679,366,435,17,29,26,56,7,4,0,6,12,778.333,143,289.881,345.452,14,842.981,281.24,214.372,347.369
9744,Man Utd,2,1,Stoke,64,36,3,4,10,5,827,539,631,351,18,25,19,28,3,2,1,0,14,875.265,238.66,393.605,243,13,825.482,367.629,6.853,451
9745,Swansea,2,0,QPR,59,41,7,1,19,5,737,545,510,370,13,20,24,31,9,2,6,0,14,817.137,156.426,301.711,359,12,815.778,77,368.778,370
9740,Spurs,2,1,Everton,38.6,61.4,6,5,13,10,582,808,384,603,23,22,25,16,3,4,2,4,14,857.334,239,225,393.334,13,849.152,158,295.152,396
9739,Southampton,0,3,Man City,52.1,47.9,4,6,13,15,660,636,468,441,15,19,12,31,8,6,5,0,14,841.454,101.774,321.68,418,14,899.96,136.491,342.145,421.324
9735,Sunderland,0,0,Chelsea,34,66,3,6,12,24,518,798,307,617,22,25,21,17,2,8,0,0,13,814.89,124.364,297.823,392.703,14,918.32,168.376,333.408,416.536
9731,Burnley,1,1,Aston Villa,46.6,53.4,4,7,11,18,646,701,433,502,19,14,25,38,1,5,1,2,14,781.288,143.722,280.566,357,14,814.291,136.291,305.197,372.803
9732,Liverpool,1,0,Stoke,47.7,52.3,3,4,16,13,651,691,444,483,21,17,36,34,5,5,0,1,13,856.262,246.717,220.807,388.738,14,836.978,238.672,219.306,379
9733,Man Utd,3,0,Hull,76.4,23.6,7,2,15,4,970,415,807,247,14,18,16,33,7,0,5,2,14,892.09,269.482,379.608,243,14,796.387,116.381,315.006,365
9734,QPR,3,2,Leicester,59,41,6,5,33,19,641,514,390,268,22,15,60,50,11,5,3,6,14,815.423,77,368.856,369.567,14,777.568,142.334,282.234,353
9736,Swansea,1,1,Crystal Palace,64.3,35.7,4,5,18,11,775,510,538,302,16,24,27,31,4,6,0,1,13,821.718,158.332,295.386,368,14,813.199,90.208,351.991,371
9738,West Ham,1,0,Newcastle,47.5,52.5,3,1,12,7,577,615,367,414,19,21,44,28,6,2,4,2,13,816.39,174.072,276.318,366,14,799.022,173.1,271.1,354.822
9737,West Brom,0,1,Arsenal,48.4,51.6,1,5,8,17,647,727,474,507,15,10,24,35,4,4,4,1,14,804.785,158.004,212.948,433.833,13,852.734,232.36,252.374,368
9730,Aston Villa,1,1,Southampton,35.9,64.1,1,4,7,16,486,742,299,531,13,10,44,19,2,8,1,2,13,814.355,146,296.355,372,13,845.512,160.704,302.808,382
9729,Hull,1,2,Spurs,27.3,72.7,2,6,10,23,436,818,220,613,20,14,48,14,3,9,4,1,14,802.278,150,338.626,313.652,14,861.156,239,229.656,392.5
9728,Crystal Palace,3,1,Liverpool,36.4,63.6,5,1,15,12,470,730,291,527,17,10,25,45,4,3,2,1,14,812.58,149.036,292.544,371,13,838.466,380,62.472,395.994
9721,Arsenal,1,2,Man Utd,61.4,38.6,9,2,23,12,695,531,490,317,19,27,10,45,11,5,1,4,14,862.356,122.585,361.683,378.088,14,856.249,252.827,300.072,303.35
9722,Chelsea,2,0,West Brom,73.7,26.3,8,1,21,5,905,436,744,270,9,17,10,31,15,0,5,2,14,918.468,168.512,337.956,412,14,807.202,149.867,282.567,374.768
9723,Everton,2,1,West Ham,56.3,43.7,4,3,14,14,692,541,485,340,13,17,62,15,1,5,3,1,14,850.571,224.506,239.065,387,14,815.898,231.573,143.325,441
9724,Leicester,0,0,Sunderland,39.9,60.1,4,5,13,11,453,591,260,396,18,17,39,20,6,9,0,5,14,778.6,143.112,282.488,353,13,811,148,293,370
9725,Man City,2,1,Swansea,59.4,40.6,10,3,23,8,862,688,665,453,16,25,14,34,7,3,0,2,14,902.44,150.018,343.422,409,14,819.43,158.878,292.552,368
9726,Newcastle,1,0,QPR,54,46,6,4,14,13,600,547,354,319,13,25,27,64,16,7,3,3,14,807.98,168.634,246.752,392.594,13,811.034,147,294.034,370
9727,Stoke,1,2,Burnley,72.7,27.3,3,4,25,5,818,455,565,230,9,18,20,70,14,0,2,0,14,835.157,236.667,220.49,378,14,781.158,163.721,257.357,360.08
9718,Swansea,2,1,Arsenal,48.1,51.9,5,4,11,12,629,646,435,462,15,16,35,19,6,10,4,0,14,812.782,209.712,235.07,368,14,870.247,163.759,320.488,386
9717,Sunderland,1,1,Everton,41.8,58.2,3,7,10,16,551,742,373,538,18,10,13,37,5,4,2,1,13,806.388,148,288.388,370,14,845.9,171.44,278.46,396
9719,Spurs,1,2,Stoke,60.3,39.7,4,4,14,11,651,506,429,280,27,25,27,36,5,5,1,2,14,848.5,140.684,321.816,386,14,835.465,236.665,220,378.8
9720,West Brom,0,2,Newcastle,57.9,42.1,2,3,10,8,735,605,524,373,25,25,28,33,7,4,1,1,14,801.268,168.1,210.276,422.892,14,806.599,150,280.767,375.832
9714,QPR,2,2,Man City,41.4,58.6,4,7,17,24,595,722,352,507,21,14,51,36,7,7,3,0,12,813,147,295,371,14,887.749,90.652,399.097,398
9711,Burnley,1,0,Hull,47.2,52.8,3,1,14,12,537,601,336,384,12,16,32,52,7,1,2,2,13,781.222,143.833,280.389,357,14,787.312,146.598,385.138,255.576
9713,Man Utd,1,0,Crystal Palace,71.4,28.6,5,1,23,6,870,445,667,260,16,26,29,31,11,4,0,0,14,867.805,277.491,368.314,222,14,806.803,151.5,286.5,368.803
9715,Southampton,2,0,Leicester,64.4,35.6,6,0,18,5,797,537,579,325,16,19,20,42,13,4,6,2,14,847.192,95.544,369.648,382,14,778.6,152.764,341.236,284.6
9716,West Ham,0,0,Aston Villa,57.9,42.1,5,4,21,12,666,543,431,335,13,16,40,54,13,2,5,1,14,818.98,243.204,207.776,368,13,817.836,146,297,374.836
9712,Liverpool,1,2,Chelsea,58.4,41.6,4,5,12,15,749,586,524,378,16,22,29,45,5,7,6,1,14,848.624,302.958,174.872,370.794,14,920.226,169.935,337.4,412.891
9710,Crystal Palace,1,3,Sunderland,53.5,46.5,1,7,9,8,651,615,412,376,15,40,18,48,11,2,0,0,13,811.71,138.057,307.544,366.109,14,802.167,138.424,285.267,378.476
9708,Aston Villa,1,2,Spurs,40.1,59.9,1,7,12,18,512,703,339,510,10,19,38,35,3,9,1,1,14,825.647,162.979,288.668,374,14,854.2,198,266.2,390
9709,Man City,1,0,Man Utd,52,48,6,2,17,9,680,660,482,456,19,24,17,29,7,4,3,3,14,901.13,162.593,329.537,409,14,878.593,254.309,313.088,311.196
9701,Arsenal,3,0,Burnley,67.6,32.4,12,2,32,6,876,535,630,319,10,21,17,59,18,1,2,4,14,864.569,154.342,318.122,392.105,13,775.812,140.699,278.113,357
9702,Chelsea,2,1,QPR,64.5,35.5,8,1,18,7,793,532,576,316,27,34,23,40,13,2,2,0,14,920.226,182.26,315.193,422.773,13,814.865,100.31,338.932,375.623
9703,Everton,0,0,Swansea,66.7,33.3,3,0,17,8,794,496,606,306,16,20,14,36,11,0,0,1,14,843.332,154.976,342.012,346.344,14,830.064,145.544,309.52,375
9704,Hull,0,1,Southampton,47.2,52.8,1,3,8,10,672,712,473,544,13,29,26,23,7,4,1,1,14,786.645,93.519,419,274.126,13,846.978,129.364,335.614,382
9705,Leicester,0,1,West Brom,55.8,44.2,5,3,14,8,708,596,449,372,22,22,19,56,8,3,4,6,14,780.088,148.188,278.9,353,14,804.759,142.278,227.7,434.781
9707,Stoke,2,2,West Ham,59.5,40.5,6,2,21,10,670,504,425,307,17,34,22,42,9,2,0,2,12,835.377,229.88,226.497,379,14,817.534,204.8,246.2,366.534
9706,Newcastle,1,0,Liverpool,35.5,64.5,3,3,14,6,529,793,307,583,27,29,33,25,7,2,0,7,14,806.637,152,279.637,375,13,852.067,324.359,213.708,314
9700,QPR,2,0,Aston Villa,35.2,64.8,4,6,11,15,521,809,320,575,19,12,39,34,2,4,2,5,14,815.194,126,315.917,373.277,13,827.444,210.794,239.65,377
9698,Man Utd,1,1,Chelsea,51.7,48.3,7,4,19,9,646,610,439,425,16,21,25,26,4,7,0,2,12,875.136,250.136,231,394,14,919.18,147.496,357.968,413.716
9697,Burnley,1,3,Everton,38.1,61.9,3,6,14,15,563,841,358,627,18,18,24,43,5,4,2,3,14,781.107,147.7,276.407,357,13,842.622,155.444,293.178,394
