MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
12494,66.3,33.7,5,0,12,7,846,510,677,342,17,16,11,10,7,1,4,2,1,0,9,8,,
12485,59.6,40.4,7,2,16,5,774,591,609,414,14,13,12,26,5,4,,,0,1,12,6,,
12486,54,46,4,5,17,18,753,668,525,444,26,24,26,16,7,6,8,0,,,5,12,,
12487,45.5,54.5,8,2,15,11,599,650,382,445,18,13,29,28,4,11,1,1,,,7,11,,
12488,38.5,61.5,10,5,19,18,538,739,351,551,20,21,35,11,3,8,1,1,1,2,7,6,1,0
12489,49.8,50.2,5,4,19,16,612,584,396,401,15,11,40,19,2,5,2,1,1,2,7,14,,
12490,46.7,53.3,4,8,7,20,542,599,355,401,28,10,27,19,4,10,6,2,3,1,8,12,,
12491,50,50,1,5,4,18,676,672,494,496,13,17,27,16,4,4,2,2,1,3,4,19,,
12492,54.2,45.8,6,4,21,6,615,547,401,346,13,20,26,39,7,4,1,4,1,0,11,9,,
12493,32.6,67.4,1,3,13,7,492,813,285,612,22,23,25,23,7,5,1,0,3,1,11,14,,
12483,55.6,44.4,6,7,18,12,716,586,495,399,8,29,19,13,5,1,5,3,2,3,8,13,,
12484,37.7,62.3,8,6,14,17,545,774,352,596,12,19,34,24,5,5,2,1,1,0,15,7,,
12482,55.3,44.7,9,7,28,13,768,666,546,446,25,23,19,21,7,3,1,2,3,1,11,12,,
12481,41.3,58.7,6,2,20,3,538,659,324,473,18,25,14,26,6,2,1,2,1,3,6,18,,
12480,69.8,30.2,6,2,20,10,803,461,586,257,14,26,25,45,10,2,1,4,0,3,8,15,,
12478,66.1,33.9,5,3,19,14,756,487,563,271,22,17,24,25,8,8,2,1,1,2,10,15,,
12479,57.2,42.8,3,2,14,5,747,618,505,383,22,26,28,32,7,2,3,3,2,1,16,10,,
12475,33.1,66.9,2,2,8,15,466,767,272,579,14,19,18,18,1,6,0,1,1,0,11,10,,
12472,68.3,31.7,4,4,12,12,776,463,567,255,24,28,19,16,5,3,1,3,2,1,5,8,,
12471,45.9,54.1,0,3,2,9,625,693,409,455,21,17,32,33,0,5,1,1,1,1,8,13,,
12473,57.8,42.2,4,3,17,12,585,462,390,293,8,16,10,27,4,3,1,3,2,3,8,18,,
12476,31.4,68.6,4,8,14,9,450,821,287,652,15,15,9,23,3,3,6,1,4,1,11,9,0,1
12477,51.9,48.1,7,6,25,13,622,617,427,408,10,16,11,31,13,3,3,2,3,0,11,8,,
12474,41.3,58.7,8,5,31,9,562,700,340,504,17,24,19,19,12,4,2,1,0,3,4,12,,
