MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
14410,Arsenal,Everton,3,1,49.5,50.5,9.0,7.0,17.0,22.0,621.0,603.0,438.0,428.0,18.0,10.0,30.0,20.0,4.0,6.0,0.0,1.0,2.0,4.0,10.0,15.0,1.0,0.0
14411,Burnley,West Ham,1,2,44.7,55.3,1.0,4.0,9.0,14.0,563.0,660.0,396.0,489.0,12.0,13.0,20.0,24.0,2.0,5.0,0.0,3.0,2.0,2.0,11.0,14.0,0.0,0.0
14412,Chelsea,Sunderland,5,1,70.5,29.5,8.0,3.0,28.0,7.0,813.0,440.0,643.0,269.0,16.0,17.0,4.0,35.0,11.0,1.0,0.0,1.0,1.0,1.0,8.0,15.0,0.0,0.0
14413,Hull,Spurs,1,7,34.7,65.3,4.0,14.0,10.0,19.0,474.0,802.0,310.0,600.0,19.0,14.0,23.0,15.0,2.0,3.0,2.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0
14414,Leicester,Bournemouth,1,1,48.6,51.4,4.0,4.0,20.0,10.0,629.0,649.0,412.0,446.0,26.0,20.0,10.0,28.0,9.0,1.0,5.0,1.0,4.0,1.0,11.0,10.0,0.0,0.0
14415,Liverpool,Middlesbrough,3,0,73.8,26.2,10.0,3.0,25.0,9.0,929.0,434.0,752.0,260.0,14.0,15.0,18.0,30.0,3.0,3.0,1.0,0.0,0.0,1.0,13.0,8.0,0.0,0.0
14416,Man Utd,Crystal Palace,2,0,58.8,41.2,2.0,1.0,9.0,6.0,727.0,537.0,542.0,360.0,25.0,14.0,34.0,5.0,3.0,6.0,0.0,1.0,2.0,0.0,16.0,10.0,0.0,0.0
14417,Southampton,Stoke,0,1,61.0,39.0,6.0,3.0,15.0,14.0,686.0,510.0,512.0,319.0,11.0,16.0,21.0,29.0,4.0,10.0,3.0,2.0,2.0,4.0,12.0,10.0,0.0,0.0
14418,Swansea,West Brom,2,1,65.3,34.7,2.0,5.0,12.0,16.0,795.0,500.0,589.0,316.0,17.0,18.0,17.0,24.0,7.0,4.0,1.0,0.0,1.0,1.0,8.0,10.0,0.0,0.0
14419,Watford,Man City,0,5,32.9,67.1,3.0,9.0,6.0,15.0,440.0,789.0,297.0,620.0,20.0,19.0,6.0,13.0,4.0,5.0,0.0,2.0,1.0,0.0,12.0,10.0,0.0,0.0
14375,Leicester,Spurs,1,6,37.3,62.7,5.0,12.0,12.0,26.0,519.0,781.0,321.0,561.0,24.0,17.0,16.0,28.0,4.0,4.0,4.0,2.0,3.0,1.0,11.0,8.0,0.0,0.0
14319,Southampton,Man Utd,0,0,52.8,47.2,6.0,1.0,17.0,11.0,647.0,616.0,484.0,450.0,12.0,9.0,11.0,32.0,7.0,3.0,0.0,3.0,2.0,1.0,7.0,10.0,0.0,0.0
14370,Arsenal,Sunderland,2,0,62.5,37.5,13.0,2.0,36.0,6.0,744.0,508.0,543.0,336.0,9.0,15.0,17.0,32.0,17.0,3.0,2.0,3.0,4.0,2.0,15.0,10.0,0.0,0.0
14377,Man City,West Brom,3,1,70.8,29.2,10.0,2.0,21.0,5.0,870.0,456.0,686.0,282.0,24.0,11.0,10.0,17.0,7.0,1.0,2.0,1.0,1.0,2.0,8.0,11.0,0.0,0.0
14313,Chelsea,Watford,4,3,47.1,52.9,9.0,3.0,24.0,9.0,662.0,713.0,456.0,522.0,32.0,12.0,14.0,17.0,8.0,3.0,4.0,2.0,2.0,4.0,7.0,12.0,0.0,1.0
14401,Crystal Palace,Hull,4,0,29.7,70.3,4.0,0.0,12.0,9.0,384.0,659.0,200.0,487.0,19.0,13.0,38.0,16.0,3.0,7.0,3.0,1.0,3.0,5.0,13.0,14.0,0.0,0.0
14409,West Ham,Liverpool,0,4,33.3,66.7,3.0,11.0,10.0,26.0,462.0,765.0,289.0,594.0,14.0,16.0,21.0,13.0,4.0,6.0,3.0,3.0,2.0,0.0,5.0,10.0,0.0,0.0
14407,Spurs,Man Utd,2,1,60.0,40.0,7.0,2.0,14.0,8.0,724.0,564.0,530.0,356.0,18.0,17.0,16.0,33.0,8.0,3.0,2.0,1.0,1.0,2.0,14.0,15.0,0.0,0.0
14403,Man City,Leicester,2,1,65.8,34.2,5.0,4.0,17.0,9.0,740.0,453.0,541.0,276.0,15.0,17.0,29.0,21.0,9.0,3.0,0.0,0.0,3.0,3.0,12.0,16.0,0.0,0.0
14400,Bournemouth,Burnley,2,1,54.9,45.1,6.0,3.0,18.0,14.0,675.0,561.0,488.0,397.0,11.0,21.0,25.0,14.0,7.0,1.0,3.0,5.0,0.0,1.0,6.0,11.0,0.0,0.0
14404,Middlesbrough,Southampton,1,2,41.8,58.2,3.0,4.0,14.0,14.0,531.0,693.0,367.0,522.0,11.0,12.0,14.0,22.0,6.0,3.0,2.0,0.0,3.0,0.0,19.0,11.0,0.0,0.0
14406,Sunderland,Swansea,0,2,52.8,47.2,4.0,3.0,13.0,3.0,621.0,571.0,441.0,400.0,21.0,17.0,18.0,25.0,8.0,4.0,2.0,1.0,4.0,0.0,13.0,6.0,0.0,0.0
14405,Stoke,Arsenal,1,4,33.2,66.8,4.0,6.0,10.0,10.0,472.0,802.0,287.0,607.0,21.0,16.0,20.0,24.0,7.0,6.0,3.0,2.0,1.0,2.0,13.0,7.0,0.0,0.0
14402,Everton,Watford,1,0,62.1,37.9,6.0,2.0,15.0,14.0,768.0,537.0,538.0,317.0,12.0,16.0,53.0,46.0,9.0,8.0,2.0,1.0,0.0,3.0,7.0,11.0,0.0,0.0
14408,West Brom,Chelsea,0,1,32.4,67.6,2.0,5.0,7.0,24.0,436.0,746.0,262.0,571.0,18.0,7.0,28.0,24.0,5.0,8.0,3.0,1.0,3.0,0.0,13.0,8.0,0.0,0.0
14296,Southampton,Arsenal,0,2,47.0,53.0,3.0,4.0,14.0,11.0,634.0,682.0,433.0,504.0,10.0,16.0,24.0,23.0,5.0,5.0,2.0,1.0,1.0,2.0,8.0,5.0,0.0,0.0
14393,Chelsea,Middlesbrough,3,0,57.1,42.9,7.0,1.0,21.0,2.0,775.0,620.0,619.0,466.0,14.0,13.0,10.0,24.0,8.0,1.0,0.0,2.0,0.0,2.0,8.0,21.0,0.0,0.0
14396,Liverpool,Southampton,0,0,64.9,35.1,8.0,0.0,17.0,4.0,814.0,520.0,599.0,318.0,13.0,22.0,20.0,33.0,3.0,6.0,1.0,3.0,1.0,3.0,9.0,4.0,0.0,0.0
14390,Arsenal,Man Utd,2,0,50.0,50.0,4.0,4.0,9.0,10.0,705.0,707.0,524.0,530.0,19.0,22.0,24.0,16.0,5.0,9.0,2.0,4.0,1.0,0.0,14.0,10.0,0.0,0.0
14397,Man City,Crystal Palace,5,0,69.2,30.8,12.0,2.0,26.0,5.0,816.0,443.0,611.0,266.0,16.0,17.0,26.0,19.0,9.0,3.0,2.0,0.0,1.0,3.0,12.0,8.0,0.0,0.0
14391,Bournemouth,Stoke,2,2,57.8,42.2,2.0,3.0,12.0,14.0,697.0,538.0,514.0,358.0,13.0,13.0,34.0,15.0,0.0,7.0,1.0,2.0,2.0,0.0,10.0,15.0,0.0,0.0
14392,Burnley,West Brom,2,2,55.1,44.9,4.0,3.0,14.0,11.0,570.0,503.0,383.0,306.0,11.0,14.0,31.0,42.0,5.0,8.0,3.0,1.0,1.0,3.0,9.0,14.0,0.0,0.0
14394,Hull,Sunderland,0,2,59.5,40.5,6.0,5.0,16.0,12.0,640.0,502.0,451.0,317.0,13.0,16.0,18.0,27.0,7.0,4.0,0.0,4.0,3.0,1.0,10.0,8.0,0.0,0.0
14395,Leicester,Watford,3,0,41.9,58.1,5.0,7.0,11.0,14.0,541.0,709.0,333.0,487.0,24.0,12.0,29.0,45.0,10.0,1.0,5.0,4.0,0.0,0.0,8.0,10.0,0.0,0.0
14398,Swansea,Everton,1,0,37.6,62.4,4.0,2.0,9.0,9.0,543.0,756.0,341.0,568.0,19.0,11.0,50.0,24.0,9.0,5.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0
14399,West Ham,Spurs,1,0,32.4,67.6,5.0,5.0,13.0,11.0,483.0,744.0,272.0,571.0,14.0,17.0,44.0,12.0,3.0,7.0,3.0,0.0,4.0,2.0,8.0,9.0,0.0,0.0
14388,Watford,Liverpool,0,1,40.0,60.0,2.0,8.0,9.0,12.0,556.0,757.0,357.0,537.0,20.0,12.0,30.0,23.0,3.0,5.0,6.0,0.0,3.0,1.0,11.0,9.0,0.0,0.0
