MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
12241,Watford,1,2,Man Utd,43.6,56.4,5,6,10,13,623,718,385,499,28,18,32,19,4,10,1,5,13,812.102,153.0,326.5,332.602,14,887.563,8.418,496.392,382.753
12232,Arsenal,1,1,Spurs,54.9,45.1,4,4,10,14,693,613,458,383,35,22,20,35,7,6,1,3,14,901.61,212.5,342.048,347.062,14,884.08,235.906,242.174,406.0
12234,Liverpool,1,2,Crystal Palace,63.8,36.2,4,4,22,9,738,519,499,287,28,25,19,40,14,6,1,2,14,866.999,269.304,201.807,395.888,14,835.025,86.144,373.881,375.0
12233,Aston Villa,0,0,Man City,40.7,59.3,0,3,3,13,583,752,410,578,7,16,30,17,3,8,1,1,14,828.199,75.799,361.0,391.4,14,899.4,27.131,461.269,411.0
12229,Stoke,1,0,Chelsea,36.8,63.2,2,4,8,19,481,676,282,488,15,19,21,12,1,9,3,1,14,851.255,153.489,293.73,404.036,14,909.488,184.916,337.666,386.906
12226,Leicester,2,1,Watford,41.3,58.7,6,4,12,8,578,740,376,556,15,13,23,26,4,2,4,1,14,835.935,117.0,302.435,416.5,13,807.482,153.0,271.906,382.576
12227,Man Utd,2,0,West Brom,67.7,32.3,3,0,13,4,824,495,648,304,15,21,12,27,5,1,1,0,14,891.239,77.435,463.64,350.164,14,814.88,170.4,289.288,355.192
12228,Norwich,1,0,Swansea,32.9,67.1,5,0,9,8,477,852,338,706,11,12,13,15,5,2,3,2,13,807.056,150.22,292.836,364.0,14,849.957,147.968,316.989,385.0
12230,Sunderland,0,1,Southampton,35.8,64.2,3,5,9,14,521,748,314,551,13,14,52,34,3,7,2,5,14,788.866,50.384,329.15,409.332,14,845.68,155.376,305.468,384.836
12231,West Ham,1,1,Everton,50.8,49.2,4,4,16,13,617,601,435,427,18,10,16,24,3,5,2,1,14,842.498,188.117,275.381,379.0,13,828.633,216.747,312.886,299.0
12225,Bournemouth,0,1,Newcastle,67.3,32.7,5,1,20,2,798,505,582,300,22,27,6,36,16,0,4,3,14,792.091,21.66,407.431,363.0,14,829.47,138.788,321.088,369.594
12224,Spurs,3,1,Aston Villa,61.3,38.7,6,2,17,13,754,542,530,325,21,24,31,24,4,3,3,1,14,882.569,241.912,234.835,405.822,14,815.49,117.428,254.062,444.0
12223,Southampton,2,0,Bournemouth,48.5,51.5,2,2,11,16,666,703,479,514,21,18,28,21,4,6,1,1,14,847.323,156.0,306.823,384.5,14,794.122,36.0,395.122,363.0
12222,Everton,6,2,Sunderland,67.4,32.6,8,9,15,17,859,498,687,326,8,19,21,26,6,1,3,2,14,828.459,228.094,299.975,300.39,14,796.377,78.0,316.419,401.958
12216,Crystal Palace,0,0,Man Utd,44.6,55.4,5,1,10,5,549,638,355,456,20,23,13,28,7,3,0,1,12,832.556,146.0,310.556,376.0,14,898.981,85.0,427.608,386.373
12217,Man City,2,1,Norwich,70.8,29.2,5,3,21,5,929,457,722,296,16,15,27,33,12,4,4,0,14,897.546,123.8,361.888,411.858,14,810.036,72.868,370.168,367.0
12218,Newcastle,0,0,Stoke,52.3,47.7,6,2,15,9,591,542,412,388,15,16,10,18,11,4,4,5,13,826.954,165.036,293.542,368.376,14,852.115,154.159,309.131,388.825
12219,Swansea,0,3,Arsenal,54.2,45.8,3,5,7,14,716,655,550,461,9,16,10,19,4,4,5,1,14,849.856,155.888,308.968,385.0,14,906.29,249.506,236.667,420.117
12220,Watford,2,0,West Ham,50.6,49.4,5,3,20,8,594,597,400,397,17,15,25,39,7,2,3,3,14,812.56,149.612,275.868,387.08,14,837.536,163.048,300.488,374.0
12221,West Brom,2,3,Leicester,47.7,52.3,6,5,14,13,565,560,330,370,12,25,27,27,6,4,2,1,14,816.665,231.844,231.873,352.948,14,828.457,136.663,316.794,375.0
12215,Chelsea,1,3,Liverpool,42.6,57.4,2,7,8,16,652,792,418,567,35,27,19,16,1,7,3,2,14,902.494,261.792,244.494,396.208,14,876.153,256.328,221.956,397.869
12212,Liverpool,1,1,Southampton,60.3,39.7,2,3,15,8,815,607,586,383,23,29,24,33,10,7,4,2,14,872.498,235.96,239.538,397.0,14,850.708,166.92,294.788,389.0
12211,Bournemouth,1,5,Spurs,45.8,54.2,3,10,11,15,624,691,401,489,29,24,19,24,4,5,3,5,14,797.511,72.0,345.821,379.69,14,881.785,241.272,234.78,405.733
12213,Man Utd,0,0,Man City,58.7,41.3,1,1,6,6,746,583,543,386,19,28,24,30,6,4,0,0,14,894.639,85.0,406.039,403.6,14,899.057,79.454,397.371,422.232
12214,Sunderland,3,0,Newcastle,39.7,60.3,3,8,9,21,495,647,311,456,14,19,25,9,1,10,0,1,14,802.144,76.0,333.141,393.003,14,826.196,149.0,282.873,394.323
12205,Arsenal,2,1,Everton,56.2,43.8,5,5,20,10,777,626,527,404,20,36,14,21,7,5,0,2,13,902.723,255.0,241.854,405.869,14,832.09,162.847,367.666,301.577
12206,Aston Villa,1,2,Swansea,47.9,52.1,3,4,9,10,573,611,377,419,14,16,18,22,4,6,0,4,13,814.366,218.856,150.51,445.0,14,850.577,156.825,308.752,385.0
12207,Leicester,1,0,Crystal Palace,47.7,52.3,3,4,12,9,633,652,426,456,21,15,38,14,3,2,2,3,13,831.69,101.8,278.89,451.0,14,824.145,127.333,410.888,285.924
12208,Norwich,0,1,West Brom,60.6,39.4,3,4,16,7,673,502,466,316,8,10,45,44,13,3,4,0,12,815.601,153.601,369.0,293.0,13,816.266,229.616,227.65,359.0
12209,Stoke,0,2,Watford,66.2,33.8,0,3,11,13,724,455,526,269,19,20,17,25,11,5,8,0,14,844.302,179.642,283.36,381.3,14,812.722,152.153,271.879,388.69
12210,West Ham,2,1,Chelsea,45.5,54.5,5,4,12,9,561,634,370,457,17,18,21,27,7,4,4,5,14,840.513,163.999,301.645,374.869,14,911.335,167.0,335.5,408.835
12204,Swansea,0,1,Stoke,54.1,45.9,2,2,14,9,765,645,548,472,18,32,21,15,1,2,1,2,14,845.996,112.501,346.495,387.0,14,848.223,167.416,280.157,400.65
12203,Newcastle,6,2,Norwich,44.2,55.8,6,6,11,18,560,661,373,463,13,26,18,24,3,7,3,1,14,829.356,149.022,310.5,369.834,14,813.976,106.527,346.407,361.042
12201,Watford,0,3,Arsenal,33.3,66.7,1,6,8,17,510,857,306,627,25,17,25,31,3,9,1,4,14,814.702,165.859,287.551,361.292,14,909.601,187.898,311.703,410.0
12195,Chelsea,2,0,Aston Villa,49,51,3,1,9,10,634,673,415,424,31,19,24,27,4,4,1,0,14,898.77,167.88,326.89,404.0,13,815.358,130.456,311.324,373.578
12196,Crystal Palace,1,3,West Ham,38.5,61.5,1,4,6,24,524,733,326,516,21,27,14,20,1,9,2,4,14,827.636,146.0,380.636,301.0,14,838.226,175.995,288.231,374.0
