HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
13,836.72,146.063,289.475,401.182,14,804.455,152.24,383.215,"269
"
13,816.868,149,294.868,373,14,879.196,228.42,248.776,"402
"
14,796.14,71.888,363.252,361,14,839.689,259.164,193.525,"387
"
14,855.681,218.269,250.412,387.0,14,823.2,166.026,290.508,"366.666
"
14,805.28,147.28,289.0,369,14,903.46,150.032,341.316,"412.112
"
14,831.503,212.387,246.615,372.501,14,875.811,57.477,416.652,"401.682
"
14,838.435,76.519,383.916,378,14,863.22,263.688,234,"365.532
"
14,831.511,232.496,228.779,370.236,14,832.384,117.0,298.884,"416.5
"
14,889.131,157.464,324.667,407,14,851.405,169.097,300.308,"382
"
14,856.967,173.11,263.357,420.5,14,841.288,191.5,386.288,"263.5
"
14,906.316,166.652,327.664,412,14,822.955,141.342,219.797,"461.816
"
14,797.26,146.5,358.024,292.736,14,797.339,72.068,363.424,"361.847
"
14,838.308,169.376,282.316,386.616,14,815.059,26.832,418.424,"369.803
"
14,845.433,153.528,304.905,387,14,810.911,224.711,238.5,"347.7
"
14,878.187,242,234.453,401.734,14,884.171,176.27,312.901,"395
"
14,858.732,225.238,246.494,387,14,903.599,156.397,333.38,"413.822
"
14,849.792,69,467.367,313.425,14,829.191,153.167,297.024,"379
"
13,897.032,192.831,300.201,404,14,828.304,175.675,282.793,"369.836
"
14,846.144,152.011,313,381.133,14,800.288,93.73,368.558,"338
"
14,841.507,153.177,385,303.33,14,869.004,189.794,293.442,"385.768
"
13,820.155,149.733,149.422,521,14,860.278,163.694,314.24,"382.344
"
14,801.018,88.318,351.7,361,14,842.443,213.683,211.752,"417.008
"
14,835.324,154.1,287.796,393.428,14,830.45,232.803,228.647,"369
"
13,813.331,174.974,293.0,345.357,14,902.497,189.052,365.504,"347.941
"
14,818.97,78,372.903,368.067,14,829.913,73.335,380.578,"376
"
14,858.955,61.341,514.999,282.615,14,898.188,185.438,307.75,"405
"
14,875.195,241.129,232.066,402,14,851.657,172.837,291.82,"387
"
14,826.178,216.534,242.6,367.044,14,828.701,119.881,332.82,"376
"
14,835.768,147.001,362.69,326.077,14,815.361,143.864,302.497,"369.0
"
14,833.92,152.821,226.825,454.274,14,906.491,160.604,377.387,"368.5
"
14,844.611,153.48,312.131,379,13,814.924,84.512,288.412,"442
"
13,818.899,224.916,229.983,364,14,798.972,64.038,373.934,"361
"
14,840.865,132.004,402.861,306,12,809.444,78,365.444,"366
"
13,910.498,107.491,389.174,413.833,14,876.056,233.398,240.658,"402
"
14,815.394,47.656,341.186,426.552,14,868.593,224.039,250.554,"394
"
14,899.722,176.162,319.56,404.0,14,832.83,130.528,294.67,"407.632
"
14,912.404,81.337,421.113,409.954,14,809.362,76.666,438.032,"294.664
"
14,792.836,73,358.836,361,14,838.546,259.693,234,"344.853
"
13,832.5,127.919,327.581,377,13,825.345,206.742,246.603,"372
"
14,857.089,189.412,285.677,382,14,827.768,230.8,200.012,"396.956
"
14,813.911,209.223,295.144,309.544,14,839.689,92.961,440.728,"306
"
14,847.745,170.553,290.704,386.488,14,833.286,152.822,279.1,"401.364
"
14,809.143,65.63,377.513,366,14,868.816,87.86,396.325,"384.631
"
14,910.366,135.102,363.232,412.032,14,878.478,85,396.478,"397
"
14,793.555,72.424,360.131,361,14,897.524,170.0,315.493,"412.031
"
14,844.735,201.316,182.419,461,14,846.034,114.969,373.215,"357.85
"
12,819.836,74,299,446.836,14,812.643,219.296,300.347,"293
"
14,863.633,162,307.5,394.133,14,807.528,78,363.528,"366.0
"
13,813.803,77.606,459.197,277,14,816.568,147.568,300.0,"369
"
14,847.888,189.092,275.796,383,14,857.045,158.58,316.465,"382
"
14,848.002,156.0,305.068,386.934,14,828.492,114.692,325.0,"388.8
"
14,875.859,189.794,289.065,397,14,821.8,115.0,336.0,"370.8
"
14,895.334,128.166,361.168,406,14,836.872,154.7,300.172,"382
"
12,854.5,159.5,313,382,14,826.523,102.564,393.547,"330.412
"
14,823.63,153,298.166,372.464,12,907.945,167,329.945,"411
"
14,825.48,166.548,281.932,377,14,795.899,64.673,369.379,"361.847
"
14,877.147,86.518,393.629,397,13,840.0,305.335,155,"379.665
"
14,828.456,172.698,312.816,342.942,14,849.644,117.5,338.469,"393.675
"
13,896.723,170,321.723,405,14,844.082,173.202,278.976,"391.904
"
14,838.751,153.295,303.456,382,14,869.972,182.898,292.074,"395
"
13,817.466,156.678,292.788,368,14,877.048,203.5,271.548,"402
"
14,822.48,78,378.48,366,14,898.802,124.5,359.786,"414.516
"
14,847.627,73.294,392.333,382,13,820.9,141.786,217.711,"461.403
"
14,895.145,108.008,318.169,468.968,13,906.644,153.972,341.672,"411
"
14,834.249,162,364.689,307.56,14,850.77,79.825,372.331,"398.614
"
14,842.828,75.406,450.054,317.368,14,906.008,99.388,401.62,"405
"
13,832.496,151.976,303.52,377,14,877.89,240.174,235.384,"402.332
"
13,837.913,154.067,301.846,382,14,842.299,312.728,146.24,"383.331
"
14,875.856,85,400.8,390.056,14,838.086,152.878,230.208,"455
"
13,805.776,78,362.776,365,14,791.737,72.636,358.101,"361
"
14,816.492,153.858,298.568,364.066,14,828.868,102.674,358.888,"367.306
"
14,829.843,162.524,292.319,375,13,818.822,149.711,223.111,"446
"
14,815.067,212.861,294.778,307.428,14,864.088,122.0,347.252,"394.836
"
14,846.154,85.853,372.826,387.475,13,820.668,155.244,296.492,"368.932
"
14,848.935,304.417,154.868,389.65,13,883.392,82,390.6,"410.792
"
14,868.632,157.52,324.076,387.036,14,884.073,85,433.362,"365.711
"
13,818.569,168.688,280.881,369,14,832.272,145.865,304.407,"382
"
14,791.17,73.725,356.445,361,14,809.912,163.886,358.026,"288
"
14,904.119,116.343,376.776,411,14,835.877,154.0,370.033,"311.844
"
14,898.378,129.281,362.675,406.422,14,832.376,148.267,307.109,"377
"
14,833.917,140.897,348.584,344.436,14,833.721,105.0,348.222,"380.499
"
14,834.897,129.6,250.833,454.464,14,816.2,189.2,263.5,"363.5
"
14,877.812,253.237,221.575,403,14,804.274,78,364.274,"362
"
14,861.001,181.6,283.729,395.672,14,894.758,167.096,305.338,"422.324
"
14,873.66,225.246,244.414,404,14,837.706,142.79,312.916,"382
"
13,901.101,167,323.101,411,14,814.744,103.796,274.948,"436
"
12,903.0,88,410.0,405,13,836.789,178.247,343.542,"315
"
14,833.755,144.342,234.858,454.555,14,825.878,171.788,294.034,"360.056
"
14,847.486,305.11,142.676,399.7,14,805.576,130.365,387.211,"288
"
14,841.135,90.088,325.539,425.508,14,807.328,78,364.328,"365
"
12,818.836,150,299.0,369.836,14,834.189,134.514,322.675,"377
"
14,794.421,80.192,353.229,361,14,825.542,137.173,308.335,"380.034
"
14,830.392,149.836,308.532,372.024,13,890.201,85,475.201,"330
"
13,838.333,213.359,309.974,315,14,871.438,218.173,249.265,"404
"
14,825.367,154.871,293.496,377,13,907.912,165.196,331.716,"411
"
12,822.445,153,294.445,375,14,910.394,97.488,417.667,"395.239
"
14,896.202,169.098,308.412,418.692,13,831.056,151.508,310.548,"369
"
14,836.176,136.628,330.364,369.184,13,792.631,31.176,374.814,"386.641
"
14,902.05,85,478.373,338.677,14,847.823,85.853,374.97,"387
"
14,807.022,146.736,365.7,294.586,14,837.824,83.658,373.166,"381
"
14,800.134,86.103,349.031,365,14,814.145,84.544,295.989,"433.612
"
13,813.691,156.256,298.435,359,14,854.787,174.611,216.176,"464
"
14,839.623,164.81,290.645,384.168,14,859.437,245.356,231.764,"382.317
"
14,805.964,78,421.764,306.2,14,874.844,319.448,159.538,"395.858
"
14,839.003,97.688,359.315,382,14,907.532,86.491,416.041,"405
"
14,886.182,160.898,250.195,475.089,14,790.367,7.992,421.375,"361
"
14,899.416,85,487.424,326.992,13,907.504,100.204,396.3,"411
"
14,837.912,150.156,308.756,379,14,836.495,151.664,303.165,"381.666
"
14,830.532,131.175,396.357,303,14,821.15,217.158,223.0,"380.992
"
13,824.755,260.128,265.627,299,14,855.124,166.397,232.36,"456.367
"
14,811.6,152.218,371.382,288,14,821.309,93.009,298.076,"430.224
"
14,813.91,153,347.7,313.21,14,872.064,192.8,276.264,"403
"
14,811.888,166.916,270.572,374.4,14,829.144,149.6,311.544,"368
"
14,837.809,152.2,304.609,381,14,893.226,170,299.618,"423.608
"
12,826.132,146.591,310.541,369,14,840.254,143.36,381.894,"315
"
13,820.454,149,299.454,372,14,834.496,76,387.714,"370.782
"
14,790.026,71.526,357.5,361,14,827.588,146.732,303.856,"377
"
13,912.39,167,331.39,414,14,823.568,153.0,295.568,"375
"
14,875.017,324.312,155.705,395,14,829.271,135.894,311.377,"382
"
14,900.612,80,415.512,405.1,14,797.411,0,382.87,"414.541
"
14,851.606,79,385.606,387,14,812.855,126.796,275.7,"410.359
"
14,879.512,216.006,259.506,404,14,807.799,82.516,363.283,"362
"
14,855.499,179.406,187.285,488.808,13,888.932,48.641,511.291,"329
"
14,893.908,156.272,308.514,429.122,14,905.466,85.6,414.866,"405
"
14,850.754,156,308.22,386.534,14,820.743,83.308,352.403,"385.032
"
14,817.354,151.306,296.048,370,14,873.322,352.748,245.638,"274.936
"
14,829.179,151.335,308.844,369,12,823.334,100.309,351.025,"372
"
14,910.321,166.22,333.101,411,14,803.95,114.5,319.45,"370
"
13,841.0,225.294,300.706,315,14,825.609,154.802,294.807,"376
"
12,891.999,85,477.999,329,14,804.911,129.153,313.758,"362
"
14,839.133,197.905,263.228,378,14,881.895,228.954,248.941,"404
"
13,855.444,178.572,226.397,450.475,14,829.201,139.139,313.062,"377
"
14,815.582,131.686,260.0,423.896,14,792.821,77.874,353.947,"361
"
14,830.712,151.934,296.778,382,14,910.986,248.444,286.066,"376.476
"
14,870.122,236.56,248.2,385.362,12,812.825,79.825,297,"436
"
13,876.31,242,228.31,406,14,829.725,151.9,308.825,"369
"
14,822.703,122.209,328.494,372,14,894.296,166.128,292.169,"435.999
"
13,790.614,20.016,409.598,361,14,837.084,45.264,410.26,"381.56
"
13,836.59,144.614,314.976,377,14,831.292,172.968,226.756,"431.568
"
14,895.531,79.531,410.0,406,14,849.075,85.006,377.069,"387
"
14,798.983,88.6,346.202,364.181,13,816.598,153,293.598,"370
"
13,839.096,103.488,354.608,381,14,851.444,186.038,173.3,"492.106
"
13,804.232,143.908,298.824,361.5,13,840.376,226.52,298.856,"315
"
12,829.976,239,287,303.976,13,832.416,147.712,307.704,"377
"
14,829.124,145.415,314.709,369,14,864.146,175.003,294.143,"395
"
14,909.798,95.512,416.292,397.994,12,790.333,7.992,421.341,"361
"
14,892.225,160.898,301.011,430.316,14,803.648,50.297,327.392,"425.959
"
14,878.344,0,479.844,398.5,14,845.769,77,381.185,"387.584
"
14,847.166,176.766,281.4,389,14,824.114,137.623,314.358,"372.133
"
14,836.9,156,305.9,375,13,836.66,149.591,304.31,"382.759
"
14,815.516,153.0,280.056,382.46,14,801.157,109.024,333.133,"359
"
12,812.978,116.653,260.325,436,13,882.278,241.112,235.166,"406
"
14,855.056,156.776,223.48,474.8,14,875.547,77.431,394.116,"404
"
14,863.624,218.935,248.831,395.858,14,837.144,154.466,307.678,"375
"
14,800.478,140.968,295.51,364,14,899.602,255,239.87,"404.732
"
14,836.663,172.227,281.436,383,12,823.0,155.0,300,"368
"
13,879.554,176.523,297.031,406,13,910.605,82,423.605,"405
"
14,835.67,154.001,292.343,389.326,12,887.536,64.26,424.276,"399
"
13,826.09,82.497,368.593,375,14,806.656,153,251.032,"402.624
"
14,791.844,11.232,453.112,327.5,14,827.972,239.0,289.972,"299
"
14,834.02,147.868,309.152,377,14,823.89,130.372,290.018,"403.5
"
14,892.745,85.688,410.057,397,14,836.78,163.08,292.7,"381.0
"
14,811.758,26.832,358.92,426.006,14,849.525,145.101,282.68,"421.744
"
14,834.292,126.966,330.326,377,14,821.109,74.568,331.277,"415.264
"
14,880.911,229.617,245.294,406,14,832.711,224.3,229.411,"379
"
14,888.995,83.995,406.0,399,14,872.398,225.216,251.324,"395.858
"
14,905.791,94.102,485.787,325.902,14,808.433,91.419,353.014,"364
"
14,826.842,224.76,303.082,299,14,821.667,102.791,343.876,"375
"
14,827.833,149.611,309.222,369,14,835.216,141.191,312.025,"382
"
14,849.697,179.462,285.547,384.688,14,850.699,158.903,287.76,"404.036
"
14,835.488,92.916,367.572,375,14,794.414,3.168,418.476,"372.77
"
14,815.768,141.274,313.494,361,14,904.84,216.24,223.3,"465.3
"
13,812.102,153,326.5,332.602,14,887.563,8.418,496.392,"382.753
"
14,901.61,212.5,342.048,347.062,14,884.08,235.906,242.174,"406
"
14,866.999,269.304,201.807,395.888,14,835.025,86.144,373.881,"375
"
14,828.199,75.799,361.0,391.4,14,899.4,27.131,461.269,"411
"
14,851.255,153.489,293.73,404.036,14,909.488,184.916,337.666,"386.906
"
14,835.935,117.0,302.435,416.5,13,807.482,153,271.906,"382.576
"
14,891.239,77.435,463.64,350.164,14,814.88,170.4,289.288,"355.192
"
13,807.056,150.22,292.836,364,14,849.957,147.968,316.989,"385
"
14,788.866,50.384,329.15,409.332,14,845.68,155.376,305.468,"384.836
"
14,842.498,188.117,275.381,379,13,828.633,216.747,312.886,"299
"
