14,874.199,189.64,303.559,381,14,806.07,104.176,367.802,334.092
13,804.511,154,367.4,283.111,14,779.702,141.558,278.834,359.31
14,905.318,125.88,360.724,418.714,12,812.0,228,225.0,359
14,812.02,103.805,339.215,369,14,794.753,146,292.753,356
14,844.816,133.364,336.38,375.072,14,858.412,156.501,383.911,318
14,787.8,166.518,353.92,267.362,14,878.625,189.169,371.456,318
14,786.742,143.834,352.908,290.0,13,781.55,136,288.446,357.104
14,882.954,195.627,274.835,412.492,13,829.844,227.0,225.844,377
12,819.0,226,220.0,373,14,799.267,282.708,164.132,352.427
14,831.668,164.6,288.068,379.0,14,848.5,242.708,290.792,315.0
13,884.144,250.4,247.744,386,14,810.664,189.0,260.664,361
14,810.022,73.244,369.778,367,14,889.516,138.117,326.736,424.663
14,881.498,170.678,393,317.82,14,881.469,234.935,274.134,372.4
14,818.163,154.298,297.865,366,14,887.899,178.536,297.817,411.546
14,845.598,305.703,227.895,312,14,809.596,68.838,371.758,369
14,782.212,144.0,281.212,357,14,821.955,174.708,278.247,369
14,793.378,106.5,326.0,360.878,14,818.265,223.5,242.862,351.903
14,804.507,222.666,220.665,361.176,13,787.256,143.0,354.256,290
14,854.167,131.677,330.49,392,13,788.156,152.0,341.175,294.981
13,801.23,206.238,243.872,351.12,13,845.444,140.684,330.76,374
14,823.088,222.688,215.0,385.4,14,820.234,107.791,340.931,371.512
13,880.536,232.36,262.176,386,14,823.073,91.706,359.364,372.003
14,889.125,74.64,404.819,409.666,14,841.718,351.31,103.408,387
14,880.446,198.3,280.146,402,14,797.777,118.23,322.627,356.92
14,812.855,75.2,365.655,372,14,881.529,171.0,393,317.529
14,821.769,96.403,426.222,299.144,14,797.468,197.943,252.525,347
14,792.002,177.325,358.899,255.778,13,781.868,142.372,270.08,369.416
14,787.992,133.513,364.479,290,13,812.733,117.05,324.683,371
14,819.622,219.077,303.545,297,14,811.6,79.433,365.167,367
14,821.579,171.175,281.404,369,13,856.8,185.438,277.362,394
