MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
9981,63.7,36.3,13,5,24,14,808,526,637,359,15,20,13,14,7,3,1,3,1,0,6,7,,
9982,63.3,36.7,5,3,17,6,745,486,530,319,9,16,32,32,7,2,1,1,1,2,11,6,,
9983,64.6,35.4,8,9,24,17,803,508,617,342,9,16,9,23,11,3,1,1,2,1,12,8,,
9984,47.4,52.6,7,2,13,5,566,616,342,389,20,23,23,33,7,3,2,0,3,0,22,13,,
9985,40.4,59.6,1,3,9,16,588,826,409,624,15,15,20,21,3,5,2,4,1,2,12,8,,
9986,40.9,59.1,6,1,16,7,518,699,336,525,17,17,9,39,8,1,6,0,2,2,12,15,0,1
9987,45.7,54.3,7,2,22,18,565,628,350,422,16,18,25,25,5,6,3,1,,,7,6,,
9988,54.5,45.5,6,4,15,13,670,602,475,393,16,21,29,16,8,4,0,7,1,1,13,8,,
9989,40.8,59.2,4,1,17,4,538,687,323,486,25,17,15,31,2,3,1,3,2,1,9,9,,
9990,45.5,54.5,9,4,15,13,637,689,431,514,18,20,23,17,3,9,1,1,4,2,13,4,,
9980,75.1,24.9,8,3,28,7,1008,466,798,273,12,20,8,41,5,2,0,1,1,0,6,8,,
9979,40.5,59.5,5,3,9,12,580,779,422,623,19,16,23,13,3,4,1,1,3,2,12,11,0,1
9978,47.1,52.9,9,11,13,22,683,732,463,530,20,23,18,14,11,7,0,2,0,3,8,8,,
9977,57.4,42.6,4,3,12,5,772,639,560,414,37,17,26,22,5,5,8,2,1,0,16,8,,
9973,35.6,64.4,11,4,18,9,460,719,295,547,10,7,29,25,6,3,3,1,1,1,19,7,,
9970,45.7,54.3,4,3,11,11,591,683,368,445,11,24,28,44,7,6,1,3,1,2,14,9,,
9972,47.5,52.5,4,8,8,22,560,622,315,338,34,30,39,40,3,12,1,1,2,0,12,8,,
9974,50.6,49.4,3,0,13,11,542,524,304,290,23,21,37,33,8,9,2,0,4,1,14,15,,
9975,55.7,44.3,3,2,10,14,706,586,524,401,18,19,34,18,6,8,0,5,3,1,10,6,,
9976,45.3,54.7,3,5,13,21,575,660,364,446,15,23,28,39,7,8,2,2,1,4,12,14,,
9971,66.3,33.7,3,6,18,15,793,510,586,291,20,20,29,26,4,5,1,3,2,3,10,17,,
9969,67.9,32.1,9,3,23,8,962,555,762,359,16,24,9,18,6,1,1,1,0,1,7,10,,
9968,59.5,40.5,11,3,23,9,687,519,492,333,15,17,31,17,7,4,1,5,0,1,12,7,,
9967,47.8,52.2,3,4,8,15,606,668,433,468,24,18,13,24,6,4,1,3,4,3,13,11,,
9962,73,27,4,3,22,10,801,428,595,230,15,25,18,41,15,1,2,1,2,3,10,9,,
9960,58.2,41.8,5,1,14,6,674,518,475,336,10,19,32,43,2,6,1,3,1,1,6,13,,
9963,54.5,45.5,3,2,21,8,631,589,440,379,16,13,24,52,9,3,,,1,1,16,12,,
9964,30.8,69.2,3,3,10,10,487,789,255,585,21,18,36,15,4,8,0,1,1,0,12,10,,
9965,60.7,39.3,5,3,15,8,672,523,440,292,24,28,15,42,7,2,0,2,2,3,11,17,,
9966,45,55,8,3,16,9,546,646,337,431,15,11,41,36,6,8,5,1,,,14,12,0,1
9961,37.5,62.5,4,4,13,13,462,682,267,477,9,26,18,48,7,6,4,1,0,1,13,12,,
9959,32.3,67.7,1,9,8,22,476,863,315,685,13,17,21,27,0,5,4,1,2,0,8,11,,
9957,61.7,38.3,7,1,17,8,767,546,556,322,24,26,38,27,3,6,1,2,2,2,12,13,,
9958,55,45,5,4,21,15,728,622,488,399,20,16,33,26,8,7,2,1,3,4,6,11,,
9950,50.4,49.6,4,5,11,9,624,607,441,429,18,14,22,24,5,3,0,3,2,1,13,12,,
9952,62.1,37.9,8,2,25,10,690,482,475,284,24,21,31,22,9,6,3,3,2,3,9,18,0,1
9954,43.7,56.3,6,2,12,11,578,673,374,481,19,20,26,12,1,1,3,3,2,2,12,13,0,1
9955,47.4,52.6,4,3,17,9,625,641,413,472,12,22,21,25,6,2,1,0,1,2,9,18,0,1
9956,60.2,39.8,7,2,29,9,658,524,454,307,5,10,29,43,13,3,2,2,3,2,11,7,0,1
9953,79.7,20.3,9,3,26,6,928,360,720,185,15,13,12,39,9,3,3,0,1,0,10,11,,
9951,47.9,52.1,7,3,19,12,538,571,301,341,29,19,29,36,10,7,3,1,1,2,10,13,0,2
9949,37.1,62.9,2,4,8,11,540,836,349,609,23,8,34,35,2,6,4,3,1,0,10,1,,
9948,31.2,68.8,4,9,7,12,467,799,260,591,30,28,22,20,7,7,1,0,2,0,10,10,,
9947,34.9,65.1,7,4,9,17,506,795,307,576,23,14,22,22,7,7,1,2,0,2,6,10,,
9946,57,43,1,3,11,7,772,627,568,447,16,24,20,40,6,2,,,4,3,17,11,,
9943,36.2,63.8,4,2,13,7,532,789,325,603,15,20,24,32,8,3,5,2,1,3,9,10,,
9938,59.9,40.1,4,4,12,8,656,486,406,273,9,19,64,45,6,4,1,2,3,0,16,16,,
9939,46.5,53.5,3,7,7,21,565,616,351,401,18,17,32,33,0,9,5,0,,,15,10,,
9941,48.2,51.8,4,6,12,11,635,683,410,460,31,20,24,40,9,6,0,3,1,2,14,9,,
9942,53.8,46.2,7,2,18,8,522,514,305,269,14,20,39,71,6,6,3,4,1,0,14,12,,
9944,60.5,39.5,8,5,23,15,646,504,415,274,19,18,20,35,9,8,2,1,2,3,14,15,,
9945,26.8,73.2,4,4,10,22,441,877,236,673,33,10,38,21,2,4,1,1,1,0,12,11,,
9940,44.9,55.1,4,4,11,13,595,690,428,519,9,13,21,12,7,6,1,6,1,2,13,11,,
9936,66.8,33.2,3,3,18,9,850,511,675,336,16,15,20,27,6,3,5,4,2,2,10,6,,
9937,38.9,61.1,5,8,11,14,563,780,327,544,44,21,14,20,4,3,1,5,2,4,11,13,,
9932,68.1,31.9,4,4,19,8,705,453,460,221,21,24,29,49,7,6,1,2,3,3,17,17,,
9933,65.6,34.4,8,1,21,10,706,447,506,263,14,8,38,36,5,6,1,0,1,2,12,15,0,1
9934,41.1,58.9,6,6,18,10,572,752,355,534,32,14,18,45,6,3,0,3,0,2,6,5,,
9935,48.3,51.7,2,6,15,12,614,653,412,447,14,25,20,29,2,5,3,2,0,4,17,17,,
9931,29.6,70.4,2,2,7,15,456,882,283,664,29,21,31,24,3,7,2,3,3,1,13,11,,
9930,61.8,38.2,6,3,14,10,759,549,550,329,23,21,23,26,6,6,3,2,2,0,8,17,0,1
9929,39.9,60.1,4,1,15,9,527,706,304,470,25,17,45,50,5,6,4,3,2,1,12,6,,
9928,58.6,41.4,7,3,11,10,764,568,546,385,15,22,34,25,1,5,3,3,0,3,9,16,,
9924,50.9,49.1,3,8,11,12,625,607,449,440,18,14,18,24,3,6,2,1,3,3,18,12,,
9922,54,46,4,4,9,15,742,648,550,463,19,20,27,24,2,5,2,0,2,0,7,11,,
9923,53.7,46.3,3,5,12,14,615,569,405,355,28,17,18,22,8,4,,,2,2,15,17,,
9925,57,43,3,3,14,11,695,553,468,363,19,32,17,20,9,6,5,2,3,2,11,12,0,1
9926,45.9,54.1,5,4,8,12,511,577,316,355,16,23,33,26,4,6,0,3,2,2,15,14,,
9927,35.3,64.7,3,2,11,18,439,632,235,428,15,8,59,23,4,10,2,4,3,1,17,13,,
9921,31.8,68.2,4,5,8,17,529,917,307,688,15,15,46,36,1,6,3,2,2,0,15,7,,
9920,63.8,36.2,7,5,21,11,684,496,464,259,15,27,20,64,7,3,4,2,0,4,8,12,,
9919,25.9,74.1,3,4,5,22,448,887,238,667,24,23,34,14,4,13,2,0,2,1,11,11,,
9917,40,60,4,2,15,12,541,750,330,537,20,18,31,32,5,3,4,3,2,0,9,5,,
9918,53.2,46.8,4,1,16,10,579,549,346,309,27,20,22,34,8,4,2,1,5,2,14,18,,
9912,45.1,54.9,1,2,10,11,604,681,381,455,15,23,46,25,4,10,0,2,0,1,12,17,,
9913,49.6,50.4,7,7,20,14,574,605,358,370,14,16,36,56,7,6,3,1,0,3,12,10,,
9914,76.4,23.6,7,2,20,5,920,412,736,234,16,16,19,35,10,2,0,2,0,1,15,12,,
9915,58.4,41.6,4,1,9,10,794,611,630,433,17,16,28,17,4,7,2,1,1,5,11,14,0,1
9916,55,45,6,7,21,12,665,587,455,388,13,16,12,50,2,4,3,3,2,3,6,15,1,0
9911,60.5,39.5,10,2,19,7,829,584,635,415,10,18,21,30,9,0,2,1,1,6,5,22,,
9910,48.6,51.4,10,2,16,13,694,722,479,509,24,25,19,22,6,5,4,3,1,0,7,9,0,1
9908,41.7,58.3,1,4,7,6,602,774,407,569,13,28,21,28,2,3,0,3,2,2,14,17,1,0
9907,42.9,57.1,8,3,19,8,597,751,407,542,26,21,25,36,6,6,5,1,0,2,14,11,,
9909,52.3,47.7,1,3,14,8,677,654,413,391,22,21,40,71,1,3,4,5,2,1,11,12,,
9901,77.6,22.4,16,0,43,3,963,386,761,221,13,19,12,32,9,2,2,3,,,6,5,0,1
9900,42.6,57.4,3,6,12,9,539,691,360,494,17,14,15,21,4,9,1,7,,,13,9,,
9902,50.9,49.1,4,3,16,7,690,706,450,441,26,32,21,36,9,4,3,4,,,11,7,,
9903,60.2,39.8,3,3,20,15,725,541,554,360,10,12,16,33,10,5,1,0,,,10,8,,
9904,56.9,43.1,4,3,17,12,621,522,426,331,16,15,21,35,8,4,,,3,4,15,14,,
9905,65.8,34.2,4,5,10,14,826,536,573,284,24,32,36,32,4,4,1,3,2,1,8,9,,
9906,53.9,46.1,4,3,15,7,610,542,365,330,10,22,46,46,6,4,1,1,0,1,14,11,,
9899,46.3,53.7,3,5,10,16,702,772,483,566,19,27,15,25,4,5,1,0,0,3,13,16,,
9896,60.9,39.1,7,5,22,12,825,656,605,393,14,32,21,47,9,2,2,4,3,3,10,11,,
9897,54.1,45.9,9,4,15,12,729,622,486,400,22,25,57,27,3,4,,,1,2,11,10,0,1
9898,51.6,48.4,3,1,11,5,711,681,508,476,32,20,25,21,4,2,5,4,1,1,12,10,,
9892,43.5,56.5,4,4,15,11,529,623,282,382,22,18,46,35,6,3,5,0,1,3,17,16,,
9890,67.9,32.1,9,1,19,7,797,502,590,272,16,18,16,52,7,5,3,3,1,1,10,9,,
9893,51.3,48.7,3,5,14,12,611,580,395,385,22,17,33,35,7,5,,,0,4,10,15,0,1
9894,40.4,59.6,2,8,12,14,553,749,368,556,30,17,11,17,2,5,2,0,1,1,10,9,,
9895,43.2,56.8,5,2,14,9,507,591,287,386,17,28,33,33,7,5,1,3,1,2,7,16,,
