MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
6317,47.3,52.7,8,7,15,15,515,544,303,333,18,15,32,26,5,2,3,6,3,2,16,16,,
6318,72.4,27.6,6,3,25,9,729,388,513,193,13,20,24,48,9,2,3,1,1,3,13,8,,
6319,49.4,50.6,3,6,9,13,508,566,330,343,18,15,37,59,2,0,0,2,0,1,18,18,,
6320,54.1,45.9,10,2,21,4,592,551,420,362,23,17,26,54,6,2,1,2,0,2,11,13,,
6321,51.5,48.5,13,2,20,8,570,528,410,390,12,12,23,21,7,0,5,2,2,1,12,9,0,1
6322,48.1,51.9,5,4,16,10,577,584,345,359,20,36,43,37,5,6,8,3,,,13,12,,
6323,47.4,52.6,3,4,13,12,614,669,441,507,23,16,15,26,3,4,3,2,1,1,16,13,,
6324,49.9,50.1,2,11,8,18,619,671,421,444,27,23,19,44,8,4,3,0,1,1,12,9,,
6325,57.7,42.3,6,7,20,19,519,453,340,227,21,17,39,73,7,8,0,2,2,2,11,23,,
6326,37.6,62.4,4,6,15,13,492,699,269,457,27,29,36,59,4,11,2,0,3,2,10,6,,
6316,42.2,57.8,3,5,15,19,628,783,404,559,25,28,38,24,1,6,2,0,2,2,13,15,,
6314,52.6,47.4,2,4,12,11,782,699,541,494,24,28,34,26,8,3,1,2,0,1,10,6,,
6315,53.1,46.9,8,2,25,5,715,639,440,394,39,32,29,40,12,5,5,1,,,10,5,,
6311,49.8,50.2,4,4,8,10,614,617,436,442,23,21,32,18,4,2,1,2,1,2,17,18,1,0
6307,56.6,43.4,4,4,14,10,625,546,399,313,17,31,19,63,8,2,2,0,0,1,6,8,,
6308,58.7,41.3,10,2,25,6,578,463,336,232,12,28,57,51,9,1,1,2,,,13,20,,
6310,62.9,37.1,6,0,13,2,678,473,425,244,26,14,54,57,2,8,7,2,2,5,12,15,,
6312,46.7,53.3,4,2,11,15,539,623,324,384,21,27,29,47,7,5,4,1,1,1,17,12,,
6313,45.4,54.6,4,4,17,17,571,682,334,425,18,32,32,71,10,1,1,4,1,0,10,7,,
6309,47.1,52.9,1,2,6,6,612,633,363,417,10,22,69,62,3,0,1,1,1,0,11,14,,
6306,37.4,62.6,4,10,12,22,568,858,338,577,26,23,28,51,5,6,1,5,,,8,8,,
6305,46.8,53.2,2,6,17,14,596,633,323,377,32,32,43,26,8,7,6,5,2,2,21,15,,
6304,50.4,49.6,4,3,13,8,542,562,326,322,21,11,31,53,9,6,1,2,3,3,11,20,,
6298,58.1,41.9,8,5,19,9,608,483,386,267,9,27,40,62,8,3,0,6,3,4,15,18,,
6297,32.6,67.4,3,3,7,15,482,769,256,528,27,21,57,39,3,5,3,3,2,1,6,9,,
