MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
8234,43.5,56.5,6,7,23,20,601,734,387,524,23,22,17,29,7,4,1,1,2,1,8,9,,
8235,66.4,33.6,8,0,28,11,826,532,607,311,14,24,10,42,14,0,2,1,1,3,7,4,,
8236,60.3,39.7,3,7,14,17,667,505,497,317,17,14,25,24,7,7,2,2,1,0,11,9,,
8237,50.7,49.3,1,2,7,10,656,645,467,458,20,32,24,18,4,4,2,2,1,2,18,10,,
8238,63,37,7,3,12,8,710,482,522,296,20,17,31,35,3,4,3,2,0,2,10,7,,
8239,64.4,35.6,10,5,27,9,859,573,654,367,20,18,5,44,8,0,5,1,2,1,12,10,,
8240,68.2,31.8,14,3,35,8,728,448,467,222,18,24,37,43,14,1,4,2,1,2,7,14,0,1
8241,35.4,64.6,6,6,19,15,477,779,321,601,19,15,15,20,3,5,4,2,0,1,12,8,,
8242,48.4,51.6,10,6,21,17,565,551,352,369,17,15,32,26,6,4,5,0,2,1,13,10,,
8243,54,46,4,3,17,8,683,625,512,432,25,15,22,13,4,2,2,4,2,1,11,13,,
8232,47.5,52.5,10,2,21,11,646,724,452,513,24,13,14,18,7,4,2,5,0,2,12,11,,
8233,38.7,61.3,7,11,12,30,540,780,361,597,12,12,26,21,4,10,1,2,0,1,7,8,,
8230,32.7,67.3,1,7,6,25,431,746,231,516,25,11,31,53,2,11,0,4,3,1,12,6,1,0
8225,64.7,35.3,7,2,28,7,702,430,493,264,11,18,24,31,7,1,3,0,1,2,7,12,,
8226,48.4,51.6,5,7,10,20,703,735,513,544,14,23,26,24,7,8,3,2,0,1,1,11,,
8228,48.1,51.9,7,4,12,8,588,628,409,451,16,17,13,36,8,2,2,2,2,1,11,7,,
8229,56.2,43.8,2,4,10,11,648,556,445,360,22,24,18,27,2,2,7,4,1,2,9,10,0,1
8231,36,64,2,8,6,17,500,759,274,510,24,14,47,32,3,10,1,1,0,2,9,10,,
8227,52.1,47.9,6,2,15,9,694,667,557,507,11,7,20,29,7,5,2,0,,,5,7,,
8224,43.2,56.8,2,7,15,15,600,691,371,500,19,12,32,30,6,7,4,2,1,2,13,8,1,1
8223,44.1,55.9,5,5,15,14,545,675,335,437,29,21,22,44,6,5,3,3,1,2,6,17,,
8221,53.6,46.4,7,7,24,20,658,585,438,378,15,12,39,26,6,8,0,1,2,1,10,10,,
