MatchID,Home_team,Away_team,Score_home,Score_away
12494,Man Utd,Bournemouth,3,1
12485,Arsenal,Aston Villa,4,0
12486,Chelsea,Leicester,1,1
12487,Everton,Norwich,3,0
12488,Newcastle,Spurs,5,1
12489,Southampton,Crystal Palace,4,1
12490,Stoke,West Ham,2,1
12491,Swansea,Man City,1,1
12492,Watford,Sunderland,2,2
12493,West Brom,Liverpool,1,1
12483,Norwich,Watford,4,2
12484,Sunderland,Everton,3,0
12482,Liverpool,Chelsea,1,1
12481,West Ham,Man Utd,3,2
12480,Spurs,Southampton,1,2
12478,Liverpool,Watford,2,0
12479,Man City,Arsenal,2,2
12475,Norwich,Man Utd,0,1
12472,Bournemouth,West Brom,1,1
12471,Aston Villa,Newcastle,0,0
12473,Crystal Palace,Stoke,2,1
12476,Sunderland,Chelsea,3,2
12477,West Ham,Swansea,1,4
12474,Leicester,Everton,3,1
12470,Chelsea,Spurs,2,2
12469,Swansea,Liverpool,3,1
12467,Man Utd,Leicester,1,1
12468,Southampton,Man City,4,2
12462,Everton,Bournemouth,2,1
12463,Newcastle,Crystal Palace,1,0
12464,Stoke,Sunderland,1,1
12465,Watford,Aston Villa,3,2
12466,West Brom,West Ham,0,3
12461,Arsenal,Norwich,1,0
12460,Spurs,West Brom,1,1
12459,Sunderland,Arsenal,0,0
12458,Leicester,Swansea,4,0
12455,Bournemouth,Chelsea,1,4
12454,Aston Villa,Southampton,2,4
12456,Liverpool,Newcastle,2,2
12457,Man City,Stoke,4,0
12453,Arsenal,West Brom,2,0
12452,West Ham,Watford,3,1
12450,Liverpool,Everton,4,0
12451,Man Utd,Crystal Palace,2,0
12449,Newcastle,Man City,1,1
12448,Stoke,Spurs,0,4
12446,Bournemouth,Liverpool,1,2
12447,Leicester,West Ham,2,2
12445,Arsenal,Crystal Palace,1,1
12443,Norwich,Sunderland,0,3
12440,Everton,Southampton,1,1
12441,Man Utd,Aston Villa,1,0
12442,Newcastle,Swansea,3,0
12444,West Brom,Watford,0,1
12439,Chelsea,Man City,0,3
12438,Crystal Palace,Everton,0,0
12436,Sunderland,Leicester,0,2
12435,Liverpool,Stoke,4,1
12437,Spurs,Man Utd,3,0
12434,West Ham,Arsenal,3,3
12428,Aston Villa,Bournemouth,1,2
12429,Crystal Palace,Norwich,1,0
12431,Southampton,Newcastle,3,1
12432,Swansea,Chelsea,1,0
12433,Watford,Everton,1,1
12430,Man City,West Brom,2,1
12426,Leicester,Southampton,1,0
12427,Man Utd,Everton,1,0
12419,Aston Villa,Chelsea,0,4
12420,Bournemouth,Man City,0,4
12418,Arsenal,Watford,4,0
12422,Norwich,Newcastle,3,2
12423,Stoke,Swansea,2,2
12424,Sunderland,West Brom,0,0
12425,West Ham,Crystal Palace,2,2
12421,Liverpool,Spurs,1,1
12415,Newcastle,Sunderland,1,1
12414,Man City,Man Utd,0,1
12417,Spurs,Bournemouth,3,0
12416,Southampton,Liverpool,3,2
12410,Everton,Arsenal,0,2
12408,Chelsea,West Ham,2,2
