MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
6697,70.8,29.2,9,2,26,4,849,453,663,258,18,25,14,34,6,0,0,1,1,0,10,11,,
6698,52.8,47.2,2,4,14,10,621,551,381,346,16,19,56,31,5,3,3,0,0,1,9,10,0,1
6699,48.8,51.2,1,2,10,17,536,582,315,337,20,11,16,30,4,9,3,3,0,1,14,11,1,0
6700,50.4,49.6,4,10,15,18,671,653,423,408,14,15,28,20,2,2,2,5,,,16,12,,
6701,34.9,65.1,8,4,14,13,480,759,229,473,32,21,29,55,8,3,3,0,2,1,17,12,,
6702,,,,,,,,,,,,,,,,,,,,,,,,
6703,61.6,38.4,11,1,29,9,705,495,428,239,22,27,44,27,15,9,3,1,,,9,11,,
6704,37.1,62.9,4,10,12,19,580,830,320,574,29,15,27,34,6,7,3,0,1,1,8,7,,
6705,52.1,47.9,5,5,16,18,703,657,430,387,20,20,47,14,4,5,5,0,0,1,16,10,,
6706,53.4,46.6,7,1,21,9,572,517,314,270,28,17,34,52,9,2,1,1,0,4,9,23,,
6696,43.9,56.1,2,7,9,24,609,695,367,490,19,29,50,28,5,6,0,1,1,0,11,7,,
6695,36.7,63.3,4,8,14,19,593,835,298,559,21,38,37,41,11,5,4,2,2,0,14,4,,
6694,58.5,41.5,8,3,23,10,818,635,548,383,24,22,36,27,2,4,2,2,1,2,7,6,,
6689,39.4,60.6,0,4,10,14,613,833,346,542,21,27,36,23,2,6,4,0,0,5,14,18,,
6687,46.9,53.1,5,8,15,21,562,578,290,312,24,20,81,45,5,7,2,4,2,2,15,9,,
6688,65.6,34.4,7,4,19,11,828,528,560,296,17,18,42,39,6,3,1,4,1,2,15,15,0,1
6690,50.2,49.8,3,5,14,10,611,627,326,310,21,26,43,57,6,9,3,3,0,2,15,18,,
6691,52.5,47.5,5,3,16,13,689,668,428,414,15,23,7,64,6,2,0,3,0,3,6,18,1,0
6692,47,53,6,1,17,10,576,651,306,358,23,26,28,57,6,3,0,2,,,10,13,,
6693,52.1,47.9,6,4,16,12,753,693,455,423,20,25,31,31,4,7,3,2,0,1,5,8,,
6686,33.5,66.5,3,4,11,20,556,915,310,625,32,21,23,40,5,4,0,4,,,14,4,,
6685,52.4,47.6,6,3,19,11,573,534,336,313,15,27,36,43,11,1,1,6,3,2,8,16,,
6684,47.1,52.9,5,2,16,13,697,745,417,475,29,28,24,29,8,7,1,2,1,1,11,14,,
6683,50.5,49.5,6,5,20,18,661,655,447,461,16,27,19,25,6,2,1,3,1,0,19,14,,
6676,51.4,48.6,3,1,12,9,630,622,377,362,14,17,29,51,4,2,5,0,2,1,22,14,,
6677,40.1,59.9,1,0,8,17,607,815,311,512,24,22,40,53,10,3,1,1,2,0,12,5,,
6678,51.6,48.4,,,15,4,678,643,407,375,19,20,24,38,4,5,3,1,2,3,18,12,,
6679,49.8,50.2,9,3,18,11,685,677,415,401,20,20,42,26,6,5,0,2,1,0,12,11,,
