MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7457,Aston Villa,Liverpool,1,0,48.5,51.5,3.0,3.0,9.0,12.0,631.0,659.0,434.0,465.0,23.0,21.0,21.0,11.0,4.0,5.0,2.0,5.0,2.0,2.0,14.0,11.0,0.0,0.0
7458,Bolton,Man City,0,2,40.5,59.5,2.0,7.0,15.0,17.0,520.0,709.0,309.0,472.0,22.0,23.0,22.0,51.0,6.0,4.0,0.0,1.0,1.0,1.0,13.0,11.0,1.0,0.0
7459,Everton,Chelsea,1,0,36.1,63.9,2.0,5.0,12.0,19.0,465.0,714.0,278.0,537.0,13.0,17.0,32.0,22.0,6.0,5.0,2.0,5.0,2.0,2.0,12.0,16.0,1.0,0.0
7460,Fulham,Arsenal,2,2,32.2,67.8,3.0,5.0,9.0,13.0,460.0,802.0,272.0,604.0,22.0,14.0,27.0,30.0,5.0,3.0,4.0,2.0,2.0,1.0,14.0,7.0,1.0,0.0
7461,Man Utd,Blackpool,4,2,58.5,41.5,7.0,4.0,20.0,15.0,745.0,585.0,561.0,386.0,15.0,19.0,20.0,25.0,8.0,8.0,3.0,1.0,2.0,1.0,9.0,6.0,0.0,0.0
7462,Newcastle,West Brom,3,3,54.6,45.4,8.0,6.0,17.0,16.0,593.0,528.0,402.0,343.0,29.0,11.0,13.0,21.0,7.0,6.0,3.0,5.0,0.0,0.0,3.0,9.0,0.0,0.0
7463,Stoke,Wigan,0,1,50.8,49.2,6.0,4.0,14.0,14.0,592.0,591.0,358.0,360.0,31.0,29.0,20.0,40.0,5.0,3.0,2.0,3.0,1.0,4.0,10.0,10.0,0.0,0.0
7464,Spurs,Birmingham,2,1,67.8,32.2,7.0,2.0,24.0,7.0,853.0,487.0,622.0,285.0,17.0,35.0,37.0,19.0,7.0,5.0,2.0,1.0,0.0,4.0,8.0,16.0,0.0,0.0
7465,West Ham,Sunderland,0,3,51.2,48.8,9.0,12.0,19.0,20.0,657.0,663.0,431.0,424.0,21.0,31.0,17.0,30.0,4.0,6.0,4.0,0.0,0.0,2.0,9.0,8.0,0.0,0.0
7466,Wolves,Blackburn,2,3,58.3,41.7,4.0,9.0,16.0,16.0,572.0,487.0,360.0,266.0,10.0,9.0,26.0,64.0,8.0,3.0,2.0,2.0,3.0,1.0,13.0,10.0,0.0,0.0
7456,Man City,Stoke,3,0,56.3,43.7,5.0,1.0,19.0,6.0,722.0,589.0,544.0,403.0,14.0,22.0,32.0,18.0,3.0,3.0,0.0,4.0,0.0,3.0,7.0,9.0,0.0,0.0
7453,Chelsea,Newcastle,2,2,64.2,35.8,2.0,4.0,16.0,16.0,685.0,452.0,484.0,264.0,20.0,23.0,20.0,31.0,7.0,4.0,2.0,3.0,4.0,3.0,18.0,13.0,0.0,0.0
7451,Arsenal,Aston Villa,1,2,67.7,32.3,6.0,5.0,24.0,8.0,834.0,512.0,601.0,290.0,16.0,23.0,13.0,42.0,13.0,2.0,5.0,3.0,1.0,4.0,9.0,10.0,0.0,0.0
7452,Birmingham,Fulham,0,2,57.2,42.8,1.0,9.0,11.0,21.0,661.0,555.0,445.0,339.0,7.0,17.0,30.0,63.0,5.0,4.0,5.0,0.0,0.0,5.0,7.0,16.0,0.0,0.0
7454,Liverpool,Spurs,0,2,53.5,46.5,3.0,3.0,15.0,10.0,670.0,633.0,450.0,403.0,19.0,19.0,16.0,61.0,11.0,5.0,2.0,0.0,2.0,1.0,13.0,8.0,0.0,0.0
7455,Wigan,West Ham,3,2,58.7,41.3,12.0,9.0,29.0,19.0,679.0,534.0,443.0,296.0,17.0,23.0,18.0,35.0,9.0,5.0,0.0,2.0,1.0,2.0,7.0,10.0,0.0,0.0
7447,Blackburn,Man Utd,1,1,24.5,75.5,2.0,2.0,6.0,12.0,398.0,891.0,225.0,719.0,15.0,18.0,31.0,22.0,2.0,6.0,0.0,1.0,3.0,0.0,11.0,11.0,0.0,0.0
7448,Blackpool,Bolton,4,3,50.9,49.1,5.0,6.0,11.0,19.0,565.0,548.0,347.0,341.0,20.0,20.0,50.0,27.0,4.0,6.0,7.0,3.0,2.0,4.0,16.0,13.0,0.0,0.0
7449,Sunderland,Wolves,1,3,59.6,40.4,4.0,4.0,14.0,13.0,710.0,530.0,494.0,318.0,17.0,23.0,24.0,42.0,5.0,5.0,1.0,4.0,0.0,0.0,8.0,22.0,0.0,0.0
7450,West Brom,Everton,1,0,47.5,52.5,4.0,2.0,15.0,22.0,564.0,586.0,362.0,388.0,18.0,16.0,38.0,20.0,3.0,12.0,4.0,2.0,2.0,2.0,15.0,9.0,0.0,1.0
7446,Man City,Spurs,1,0,38.1,61.9,3.0,2.0,9.0,16.0,584.0,810.0,362.0,588.0,26.0,25.0,53.0,33.0,2.0,8.0,3.0,1.0,1.0,1.0,7.0,9.0,0.0,0.0
7445,Fulham,Liverpool,2,5,49.1,50.9,4.0,9.0,11.0,17.0,687.0,684.0,452.0,475.0,17.0,25.0,47.0,31.0,6.0,5.0,1.0,1.0,5.0,2.0,17.0,12.0,0.0,0.0
7444,Wolves,West Brom,3,1,45.4,54.6,7.0,4.0,14.0,15.0,551.0,644.0,327.0,419.0,30.0,15.0,26.0,22.0,8.0,4.0,5.0,2.0,3.0,1.0,10.0,8.0,0.0,0.0
7443,Stoke,Arsenal,3,1,26.6,73.4,5.0,3.0,12.0,18.0,388.0,773.0,193.0,570.0,23.0,19.0,31.0,23.0,2.0,5.0,2.0,1.0,1.0,2.0,7.0,11.0,0.0,0.0
7442,Man Utd,Chelsea,2,1,47.4,52.6,5.0,7.0,13.0,20.0,573.0,613.0,367.0,406.0,32.0,19.0,26.0,21.0,7.0,2.0,3.0,3.0,2.0,4.0,13.0,16.0,0.0,0.0
7436,Aston Villa,Wigan,1,1,48.3,51.7,5.0,2.0,11.0,8.0,560.0,607.0,371.0,403.0,32.0,20.0,17.0,20.0,2.0,5.0,0.0,0.0,2.0,0.0,6.0,12.0,0.0,0.0
7437,Bolton,Sunderland,1,2,52.4,47.6,5.0,4.0,20.0,10.0,562.0,532.0,335.0,313.0,30.0,11.0,38.0,43.0,5.0,5.0,1.0,1.0,1.0,0.0,15.0,12.0,0.0,0.0
7438,Everton,Man City,2,1,48.6,51.4,4.0,3.0,11.0,12.0,553.0,599.0,346.0,380.0,19.0,16.0,31.0,40.0,11.0,6.0,1.0,1.0,4.0,2.0,16.0,16.0,0.0,0.0
7439,Newcastle,Birmingham,2,1,62.6,37.4,10.0,1.0,21.0,6.0,657.0,439.0,470.0,279.0,10.0,8.0,29.0,31.0,8.0,2.0,4.0,4.0,1.0,4.0,11.0,13.0,0.0,1.0
7441,West Ham,Blackburn,1,1,62.1,37.9,5.0,3.0,27.0,10.0,596.0,435.0,350.0,215.0,15.0,23.0,43.0,57.0,7.0,3.0,6.0,2.0,3.0,0.0,9.0,17.0,0.0,0.0
7440,Spurs,Blackpool,1,1,58.6,41.4,6.0,6.0,24.0,16.0,740.0,575.0,457.0,331.0,18.0,32.0,46.0,47.0,7.0,6.0,1.0,1.0,3.0,2.0,8.0,13.0,0.0,0.0
7433,Birmingham,Wolves,1,1,42.9,57.1,1.0,2.0,8.0,11.0,459.0,545.0,287.0,360.0,15.0,11.0,31.0,20.0,0.0,2.0,1.0,3.0,2.0,3.0,12.0,17.0,1.0,0.0
7434,Liverpool,Newcastle,3,0,46.3,53.7,5.0,1.0,14.0,11.0,554.0,620.0,367.0,406.0,26.0,7.0,20.0,14.0,3.0,12.0,4.0,0.0,1.0,2.0,16.0,10.0,0.0,0.0
7432,Arsenal,Man Utd,1,0,54.9,45.1,2.0,4.0,10.0,12.0,685.0,580.0,462.0,376.0,22.0,25.0,28.0,23.0,3.0,6.0,2.0,4.0,2.0,3.0,16.0,8.0,0.0,0.0
7435,Man City,West Ham,2,1,59.8,40.2,9.0,3.0,21.0,9.0,757.0,550.0,555.0,372.0,19.0,17.0,21.0,24.0,9.0,5.0,5.0,2.0,3.0,1.0,13.0,8.0,0.0,0.0
7426,Blackburn,Bolton,1,0,42.1,57.9,6.0,0.0,21.0,13.0,485.0,572.0,240.0,335.0,16.0,18.0,58.0,45.0,3.0,10.0,7.0,3.0,2.0,1.0,7.0,10.0,0.0,0.0
7427,Blackpool,Stoke,0,0,56.4,43.6,3.0,1.0,14.0,9.0,607.0,499.0,348.0,250.0,19.0,19.0,62.0,49.0,4.0,8.0,0.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0
7429,Sunderland,Fulham,0,3,50.3,49.7,4.0,3.0,16.0,10.0,689.0,682.0,463.0,464.0,20.0,15.0,21.0,46.0,5.0,4.0,4.0,5.0,1.0,0.0,7.0,14.0,0.0,0.0
7430,West Brom,Aston Villa,2,1,41.0,59.0,4.0,3.0,11.0,12.0,480.0,612.0,301.0,431.0,16.0,24.0,25.0,8.0,3.0,6.0,2.0,4.0,2.0,1.0,13.0,10.0,1.0,0.0
7428,Chelsea,Spurs,2,1,52.4,47.6,10.0,1.0,20.0,13.0,684.0,672.0,473.0,430.0,35.0,31.0,9.0,23.0,6.0,5.0,0.0,0.0,3.0,1.0,12.0,14.0,0.0,0.0
7431,Wigan,Everton,1,1,50.3,49.7,8.0,6.0,15.0,8.0,576.0,560.0,387.0,360.0,19.0,16.0,34.0,20.0,3.0,8.0,1.0,1.0,2.0,2.0,14.0,15.0,0.0,0.0
7425,Fulham,Bolton,3,0,51.9,48.1,6.0,4.0,19.0,14.0,635.0,607.0,401.0,378.0,13.0,28.0,27.0,36.0,10.0,7.0,2.0,0.0,1.0,1.0,14.0,10.0,0.0,0.0
7424,Stoke,Wolves,3,0,35.6,64.4,7.0,1.0,15.0,7.0,443.0,712.0,265.0,511.0,21.0,11.0,32.0,37.0,7.0,11.0,0.0,2.0,3.0,2.0,14.0,13.0,0.0,0.0
7423,Blackburn,Man City,0,1,32.8,67.2,3.0,5.0,14.0,12.0,440.0,710.0,245.0,506.0,15.0,19.0,33.0,32.0,4.0,6.0,0.0,0.0,2.0,3.0,15.0,16.0,0.0,0.0
7422,Bolton,Arsenal,2,1,32.9,67.1,7.0,6.0,12.0,19.0,489.0,782.0,259.0,530.0,26.0,14.0,48.0,30.0,3.0,9.0,2.0,0.0,4.0,3.0,14.0,14.0,0.0,0.0
7418,Man Utd,Everton,1,0,59.1,40.9,6.0,3.0,21.0,5.0,729.0,575.0,526.0,368.0,15.0,14.0,19.0,56.0,13.0,1.0,2.0,0.0,1.0,2.0,10.0,9.0,0.0,0.0
7414,Aston Villa,Stoke,1,1,58.8,41.2,2.0,3.0,9.0,8.0,589.0,459.0,395.0,279.0,22.0,15.0,28.0,25.0,6.0,8.0,1.0,4.0,0.0,3.0,9.0,11.0,0.0,0.0
7415,Blackpool,Newcastle,1,1,57.1,42.9,2.0,2.0,17.0,11.0,665.0,542.0,430.0,328.0,18.0,24.0,43.0,33.0,4.0,4.0,3.0,1.0,1.0,1.0,17.0,8.0,0.0,0.0
7417,Liverpool,Birmingham,5,0,53.5,46.5,11.0,5.0,20.0,13.0,677.0,594.0,475.0,411.0,21.0,14.0,24.0,12.0,5.0,2.0,1.0,2.0,1.0,0.0,7.0,12.0,0.0,0.0
7419,Sunderland,Wigan,4,2,44.1,55.9,6.0,5.0,15.0,9.0,528.0,599.0,294.0,394.0,22.0,34.0,19.0,32.0,7.0,3.0,1.0,0.0,1.0,2.0,12.0,10.0,0.0,0.0
7420,Spurs,West Brom,2,2,60.1,39.9,3.0,3.0,24.0,11.0,760.0,559.0,531.0,367.0,21.0,17.0,21.0,32.0,11.0,1.0,0.0,3.0,1.0,1.0,8.0,13.0,0.0,0.0
