MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
9601,Cardiff,Chelsea,1,2,36.8,63.2,3.0,7.0,10.0,28.0,536.0,801.0,317.0,568.0,20.0,21.0,30.0,18.0,3.0,8.0,1.0,2.0,1.0,2.0,7.0,9.0,0.0,0.0
9602,Fulham,Crystal Palace,2,2,66.1,33.9,5.0,6.0,15.0,15.0,717.0,463.0,496.0,249.0,21.0,21.0,33.0,34.0,6.0,4.0,1.0,1.0,3.0,1.0,11.0,15.0,0.0,0.0
9603,Hull,Everton,0,2,43.0,57.0,3.0,4.0,12.0,11.0,627.0,790.0,459.0,623.0,16.0,13.0,26.0,20.0,6.0,4.0,2.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0
9604,Liverpool,Newcastle,2,1,66.2,33.8,5.0,2.0,13.0,8.0,851.0,515.0,673.0,333.0,15.0,19.0,24.0,26.0,6.0,2.0,3.0,2.0,1.0,3.0,8.0,16.0,0.0,2.0
9605,Man City,West Ham,2,0,68.1,31.9,7.0,0.0,28.0,3.0,772.0,431.0,585.0,259.0,17.0,12.0,15.0,34.0,12.0,1.0,2.0,1.0,2.0,2.0,7.0,9.0,0.0,0.0
9606,Norwich,Arsenal,0,2,37.7,62.3,5.0,8.0,11.0,14.0,575.0,859.0,405.0,680.0,13.0,18.0,20.0,23.0,4.0,4.0,3.0,1.0,1.0,0.0,6.0,5.0,0.0,0.0
9607,Southampton,Man Utd,1,1,58.5,41.5,6.0,2.0,15.0,9.0,687.0,569.0,517.0,369.0,14.0,18.0,16.0,35.0,6.0,2.0,0.0,6.0,3.0,2.0,16.0,5.0,0.0,0.0
9608,Sunderland,Swansea,1,3,53.3,46.7,4.0,4.0,20.0,8.0,598.0,548.0,401.0,344.0,16.0,23.0,25.0,32.0,6.0,3.0,0.0,0.0,2.0,3.0,14.0,15.0,0.0,0.0
9609,Spurs,Aston Villa,3,0,54.7,45.3,6.0,1.0,12.0,4.0,739.0,639.0,556.0,461.0,17.0,17.0,18.0,20.0,5.0,1.0,7.0,0.0,1.0,0.0,11.0,11.0,0.0,0.0
9610,West Brom,Stoke,1,2,43.0,57.0,4.0,4.0,18.0,14.0,549.0,698.0,359.0,496.0,17.0,18.0,17.0,30.0,11.0,6.0,1.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0
9599,Man City,Aston Villa,4,0,73.3,26.7,9.0,0.0,18.0,5.0,910.0,427.0,739.0,257.0,10.0,16.0,20.0,36.0,7.0,2.0,3.0,0.0,1.0,2.0,8.0,9.0,0.0,0.0
9600,Sunderland,West Brom,2,0,48.3,51.7,4.0,3.0,10.0,13.0,617.0,647.0,435.0,467.0,15.0,11.0,19.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0
9598,Man Utd,Hull,3,1,55.3,44.7,7.0,2.0,18.0,2.0,799.0,657.0,637.0,511.0,12.0,20.0,22.0,13.0,8.0,0.0,0.0,1.0,1.0,1.0,13.0,9.0,0.0,0.0
9597,Crystal Palace,Liverpool,3,3,34.9,65.1,6.0,8.0,10.0,26.0,517.0,799.0,295.0,608.0,19.0,16.0,21.0,28.0,7.0,7.0,0.0,3.0,2.0,3.0,7.0,12.0,0.0,0.0
9595,Arsenal,West Brom,1,0,60.3,39.7,4.0,1.0,15.0,11.0,800.0,591.0,592.0,386.0,19.0,13.0,39.0,29.0,9.0,10.0,0.0,2.0,2.0,2.0,9.0,6.0,0.0,0.0
9596,Chelsea,Norwich,0,0,71.3,28.7,4.0,3.0,23.0,6.0,878.0,440.0,650.0,259.0,11.0,22.0,27.0,46.0,5.0,2.0,4.0,1.0,1.0,3.0,9.0,17.0,0.0,0.0
9594,West Ham,Spurs,2,0,47.2,52.8,8.0,3.0,20.0,12.0,576.0,632.0,333.0,387.0,19.0,28.0,39.0,40.0,10.0,6.0,3.0,0.0,0.0,4.0,10.0,16.0,0.0,1.0
9588,Aston Villa,Hull,3,1,44.2,55.8,9.0,2.0,15.0,8.0,554.0,673.0,358.0,449.0,12.0,12.0,29.0,45.0,8.0,5.0,0.0,3.0,0.0,0.0,14.0,9.0,0.0,0.0
9590,Man Utd,Sunderland,0,1,63.0,37.0,2.0,1.0,17.0,8.0,769.0,533.0,575.0,339.0,14.0,15.0,21.0,33.0,8.0,0.0,2.0,3.0,2.0,1.0,11.0,12.0,0.0,0.0
9591,Newcastle,Cardiff,3,0,53.8,46.2,6.0,3.0,22.0,16.0,641.0,566.0,409.0,351.0,22.0,16.0,37.0,29.0,10.0,6.0,0.0,2.0,1.0,0.0,9.0,6.0,0.0,0.0
9592,Stoke,Fulham,4,1,63.3,36.7,8.0,2.0,23.0,10.0,816.0,522.0,599.0,336.0,15.0,17.0,22.0,17.0,3.0,5.0,2.0,0.0,0.0,2.0,9.0,13.0,0.0,0.0
9593,Swansea,Southampton,0,1,38.1,61.9,3.0,4.0,12.0,17.0,557.0,776.0,352.0,580.0,17.0,12.0,30.0,19.0,3.0,5.0,2.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0
9589,Everton,Man City,2,3,59.3,40.7,4.0,6.0,9.0,18.0,871.0,642.0,673.0,456.0,16.0,17.0,20.0,22.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,9.0,0.0,0.0
9587,Arsenal,Newcastle,3,0,61.5,38.5,8.0,3.0,20.0,8.0,828.0,602.0,613.0,387.0,21.0,18.0,25.0,38.0,14.0,0.0,4.0,2.0,3.0,2.0,9.0,8.0,0.0,0.0
9586,Sunderland,Cardiff,4,0,59.6,40.4,7.0,1.0,21.0,6.0,624.0,471.0,448.0,286.0,14.0,17.0,18.0,31.0,11.0,5.0,0.0,0.0,5.0,3.0,10.0,11.0,0.0,1.0
9585,Liverpool,Chelsea,0,2,73.0,27.0,8.0,4.0,26.0,11.0,850.0,471.0,624.0,226.0,23.0,20.0,22.0,54.0,14.0,2.0,1.0,0.0,0.0,4.0,9.0,7.0,0.0,0.0
9584,Crystal Palace,Man City,0,2,46.4,53.6,2.0,6.0,3.0,16.0,624.0,694.0,399.0,468.0,21.0,24.0,41.0,28.0,4.0,8.0,4.0,0.0,3.0,1.0,9.0,10.0,0.0,0.0
