MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7125,43.8,56.2,2,3,17,17,576,695,360,455,22,12,39,36,4,3,2,1,1,0,8,9,,
7118,52.3,47.7,6,6,26,13,638,606,441,406,16,20,20,47,7,5,2,5,1,1,12,19,,
7117,64.3,35.7,11,4,22,9,803,491,571,299,18,39,34,15,9,7,5,1,2,2,11,11,0,1
7119,61.3,38.7,3,2,17,7,780,561,570,348,17,17,43,51,6,6,6,2,3,5,9,19,0,1
7120,64.9,35.1,10,3,21,9,768,493,512,282,12,33,38,39,13,1,2,0,2,1,15,12,,
7121,56.5,43.5,7,5,21,8,597,511,396,311,8,11,17,52,3,2,4,11,2,3,16,17,,
7122,40.3,59.7,7,6,18,17,485,657,291,459,24,18,15,26,9,4,3,1,2,1,12,11,,
7123,42.6,57.4,4,7,15,18,571,751,384,537,21,18,28,28,1,5,3,0,2,2,15,11,,
7124,64,36,3,1,19,6,685,462,495,275,16,21,21,29,5,1,5,0,4,1,20,11,0,1
7114,50.8,49.2,5,4,15,9,547,514,325,318,24,17,55,33,6,1,0,2,2,3,20,18,1,0
7115,51,49,4,3,11,16,625,636,414,402,26,24,30,38,7,6,1,1,,,8,8,0,1
7116,41.7,58.3,3,2,18,10,644,805,392,558,33,29,26,34,3,7,2,1,0,3,5,10,,
7113,31.7,68.3,5,5,15,23,467,734,243,517,22,11,50,23,4,18,1,0,4,0,20,10,,
7107,35.3,64.7,3,5,15,14,501,781,281,527,26,27,32,52,4,8,5,2,1,0,9,6,,
7108,54,46,5,5,17,13,696,629,477,402,28,17,43,50,4,5,6,7,1,0,13,16,,
7109,73,27,7,1,21,10,828,395,641,224,13,19,24,30,6,1,2,1,0,2,6,10,,
7111,63.4,36.6,3,3,15,17,739,526,511,304,16,23,23,49,16,7,2,1,3,2,12,11,,
7112,44.9,55.1,1,4,6,11,461,560,286,350,23,13,35,46,5,3,3,3,7,5,20,21,,
7110,60.3,39.7,7,1,21,8,784,600,580,382,31,24,18,28,9,3,1,3,1,2,6,10,,
7106,54.4,45.6,3,5,12,17,690,603,492,400,30,16,24,24,5,4,1,3,1,1,13,13,,
7105,50.1,49.9,11,0,17,6,571,599,380,394,19,26,18,33,9,2,1,5,3,1,15,13,,
7104,42.8,57.2,8,8,20,22,629,776,410,564,14,6,38,25,5,10,0,2,2,2,10,7,,
7097,53.3,46.7,12,1,30,5,801,671,581,505,14,18,13,21,8,2,4,3,,,10,5,0,1
7098,56,44,5,4,13,15,565,485,346,253,9,17,58,52,4,12,3,2,2,3,14,14,,
7099,59.3,40.7,2,2,14,10,630,471,421,298,16,20,32,39,3,3,3,0,1,2,17,16,,
7100,41.7,58.3,7,6,19,9,508,678,317,466,21,18,17,53,6,2,2,1,3,1,15,5,,
7101,54.7,45.3,3,2,12,11,589,487,375,303,9,17,42,28,4,6,3,3,3,2,17,14,,
7102,50.2,49.8,8,5,22,13,572,580,350,360,9,29,25,43,7,5,6,0,2,4,11,17,,
7103,51.2,48.8,5,8,15,11,659,637,453,430,19,35,16,21,,,2,5,1,2,12,10,,
7096,65.6,34.4,4,4,19,9,820,527,609,313,23,21,15,32,5,3,4,0,2,2,9,7,,
7095,36.7,63.3,4,3,8,17,531,761,303,536,30,20,33,30,9,11,5,1,1,2,15,17,1,1
7092,39.2,60.8,8,2,21,14,613,856,374,626,27,28,20,29,10,3,1,1,0,2,13,16,,
7087,56.8,43.2,5,1,27,14,636,529,395,313,27,18,24,36,15,7,1,1,1,2,16,16,,
7088,30.4,69.6,2,4,7,20,450,729,208,469,15,16,48,44,1,3,3,2,2,1,20,16,,
7089,46.5,53.5,5,4,11,15,592,636,336,394,26,18,54,52,4,8,5,3,1,3,11,14,,
7091,44.1,55.9,2,6,9,13,514,581,304,386,9,16,49,39,3,5,2,1,2,3,15,10,1,0
7093,56.4,43.6,5,6,11,10,630,543,428,337,26,17,15,37,6,4,3,4,1,1,8,12,,
7094,61.5,38.5,4,4,15,10,588,423,369,227,16,15,46,50,5,5,0,3,0,2,19,16,,
7090,59.5,40.5,12,1,19,11,782,571,592,394,16,20,10,24,3,2,3,1,1,0,12,10,,
,,,,,,,,,,,,,,,,,,,,,,,,
