MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7077,Arsenal,Fulham,4,0,64.3,35.7,6.0,0.0,18.0,3.0,863.0,546.0,646.0,356.0,18.0,27.0,14.0,21.0,5.0,2.0,6.0,4.0,2.0,2.0,13.0,10.0,0.0,0.0
7078,Aston Villa,Blackburn,0,1,65.1,34.9,8.0,1.0,18.0,11.0,645.0,454.0,434.0,238.0,22.0,22.0,28.0,48.0,11.0,5.0,1.0,3.0,2.0,1.0,14.0,13.0,0.0,0.0
7079,Bolton,Birmingham,2,1,41.5,58.5,6.0,7.0,15.0,14.0,548.0,670.0,292.0,432.0,23.0,7.0,46.0,23.0,3.0,6.0,3.0,3.0,2.0,5.0,19.0,17.0,0.0,0.0
7080,Burnley,Spurs,4,2,50.2,49.8,7.0,6.0,16.0,16.0,653.0,635.0,394.0,370.0,18.0,21.0,42.0,26.0,5.0,6.0,1.0,2.0,0.0,0.0,12.0,11.0,0.0,0.0
7081,Chelsea,Wigan,8,0,53.1,46.9,10.0,2.0,19.0,4.0,686.0,595.0,466.0,415.0,18.0,13.0,13.0,18.0,2.0,3.0,5.0,3.0,2.0,3.0,14.0,10.0,0.0,1.0
7082,Everton,Portsmouth,1,0,63.3,36.7,8.0,4.0,22.0,11.0,786.0,547.0,536.0,320.0,13.0,18.0,14.0,30.0,13.0,1.0,0.0,5.0,0.0,0.0,11.0,12.0,0.0,0.0
7083,Hull,Liverpool,0,0,40.4,59.6,3.0,3.0,11.0,21.0,593.0,791.0,333.0,523.0,25.0,30.0,34.0,26.0,2.0,6.0,3.0,0.0,1.0,0.0,16.0,11.0,0.0,0.0
7084,Man Utd,Stoke,4,0,60.8,39.2,6.0,6.0,21.0,7.0,705.0,535.0,494.0,320.0,25.0,17.0,30.0,32.0,9.0,2.0,2.0,3.0,2.0,0.0,11.0,5.0,0.0,0.0
7085,West Ham,Man City,1,1,35.9,64.1,5.0,4.0,13.0,18.0,604.0,887.0,332.0,607.0,30.0,24.0,33.0,12.0,4.0,3.0,1.0,3.0,2.0,0.0,13.0,7.0,0.0,0.0
7086,Wolves,Sunderland,2,1,55.3,44.7,7.0,4.0,18.0,11.0,649.0,575.0,388.0,315.0,19.0,21.0,24.0,36.0,4.0,1.0,1.0,4.0,1.0,0.0,13.0,20.0,0.0,2.0
7075,Fulham,Stoke,0,1,62.8,37.2,3.0,2.0,13.0,7.0,828.0,586.0,576.0,343.0,17.0,17.0,30.0,33.0,8.0,3.0,1.0,5.0,1.0,3.0,7.0,6.0,0.0,0.0
7076,Man City,Spurs,0,1,54.1,45.9,3.0,4.0,13.0,13.0,666.0,610.0,385.0,332.0,24.0,17.0,21.0,41.0,9.0,8.0,6.0,3.0,0.0,3.0,13.0,20.0,0.0,0.0
7074,Wigan,Hull,2,2,63.6,36.4,3.0,3.0,14.0,6.0,832.0,574.0,561.0,313.0,21.0,33.0,17.0,24.0,8.0,1.0,1.0,6.0,2.0,0.0,11.0,14.0,0.0,0.0
7073,Blackburn,Arsenal,2,1,29.9,70.1,6.0,3.0,11.0,7.0,419.0,707.0,199.0,462.0,20.0,15.0,39.0,39.0,5.0,8.0,4.0,2.0,2.0,2.0,20.0,16.0,0.0,0.0
7071,Liverpool,Chelsea,0,2,56.2,43.8,1.0,10.0,11.0,17.0,750.0,643.0,492.0,381.0,24.0,25.0,18.0,31.0,9.0,5.0,2.0,4.0,1.0,2.0,9.0,7.0,0.0,0.0
7070,Fulham,West Ham,3,2,49.2,50.8,2.0,5.0,7.0,8.0,668.0,716.0,462.0,490.0,25.0,29.0,31.0,40.0,9.0,3.0,1.0,3.0,0.0,0.0,14.0,17.0,0.0,0.0
7072,Sunderland,Man Utd,0,1,48.3,51.7,1.0,5.0,11.0,16.0,703.0,738.0,401.0,438.0,33.0,31.0,28.0,31.0,9.0,4.0,1.0,0.0,3.0,2.0,11.0,10.0,0.0,0.0
7065,Birmingham,Burnley,2,1,52.9,47.1,3.0,4.0,14.0,13.0,700.0,619.0,441.0,379.0,20.0,15.0,26.0,29.0,7.0,8.0,5.0,0.0,2.0,1.0,12.0,12.0,0.0,0.0
7066,Man City,Aston Villa,3,1,53.9,46.1,6.0,4.0,20.0,11.0,708.0,633.0,419.0,362.0,23.0,22.0,34.0,39.0,12.0,4.0,2.0,0.0,1.0,2.0,7.0,10.0,0.0,0.0
7067,Portsmouth,Wolves,3,1,44.3,55.7,6.0,9.0,13.0,20.0,483.0,545.0,284.0,351.0,11.0,13.0,41.0,20.0,7.0,9.0,5.0,2.0,0.0,1.0,11.0,13.0,0.0,0.0
7068,Stoke,Everton,0,0,45.6,54.4,3.0,2.0,14.0,11.0,561.0,637.0,329.0,376.0,18.0,24.0,24.0,56.0,6.0,5.0,1.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0
