MatchID,Home_team,Away_team,Score_home,Score_away
9601,Cardiff,Chelsea,1,2
9602,Fulham,Crystal Palace,2,2
9603,Hull,Everton,0,2
9604,Liverpool,Newcastle,2,1
9605,Man City,West Ham,2,0
9606,Norwich,Arsenal,0,2
9607,Southampton,Man Utd,1,1
9608,Sunderland,Swansea,1,3
9609,Spurs,Aston Villa,3,0
9610,West Brom,Stoke,1,2
9599,Man City,Aston Villa,4,0
9600,Sunderland,West Brom,2,0
9598,Man Utd,Hull,3,1
9597,Crystal Palace,Liverpool,3,3
9595,Arsenal,West Brom,1,0
9596,Chelsea,Norwich,0,0
9594,West Ham,Spurs,2,0
9588,Aston Villa,Hull,3,1
9590,Man Utd,Sunderland,0,1
9591,Newcastle,Cardiff,3,0
9592,Stoke,Fulham,4,1
9593,Swansea,Southampton,0,1
9589,Everton,Man City,2,3
9587,Arsenal,Newcastle,3,0
9586,Sunderland,Cardiff,4,0
9585,Liverpool,Chelsea,0,2
9584,Crystal Palace,Man City,0,2
9580,Southampton,Everton,2,0
9578,Fulham,Hull,2,2
9581,Stoke,Spurs,0,1
9582,Swansea,Aston Villa,4,1
9583,West Brom,West Ham,1,0
9579,Man Utd,Norwich,4,0
9577,Man City,West Brom,3,1
9576,Norwich,Liverpool,2,3
9575,Hull,Arsenal,0,3
9574,Everton,Man Utd,2,0
9568,Aston Villa,Southampton,0,0
9569,Cardiff,Stoke,1,1
9570,Chelsea,Sunderland,1,2
9572,Spurs,Fulham,3,1
9571,Newcastle,Swansea,1,2
9573,West Ham,Crystal Palace,0,1
9566,Everton,Crystal Palace,2,3
9567,Man City,Sunderland,2,2
9565,Arsenal,West Ham,3,1
9563,Liverpool,Man City,3,2
9564,Swansea,Chelsea,0,1
9557,Crystal Palace,Aston Villa,1,0
9558,Fulham,Norwich,1,0
9559,Southampton,Cardiff,0,1
9560,Stoke,Newcastle,1,0
9561,Sunderland,Everton,0,1
9562,West Brom,Spurs,3,3
9556,Spurs,Sunderland,5,1
9554,Everton,Arsenal,3,0
9555,West Ham,Liverpool,1,2
9551,Man City,Southampton,4,1
9547,Aston Villa,Fulham,1,2
9548,Cardiff,Crystal Palace,0,3
9550,Hull,Swansea,1,0
9552,Newcastle,Man Utd,0,4
9553,Norwich,West Brom,0,1
9549,Chelsea,Stoke,3,0
9546,Sunderland,West Ham,1,2
9544,Fulham,Everton,1,3
9545,Liverpool,Spurs,4,0
9539,Man Utd,Aston Villa,4,1
9538,Crystal Palace,Chelsea,1,0
9540,Southampton,Newcastle,4,0
9541,Stoke,Hull,1,0
9542,Swansea,Norwich,3,0
9543,West Brom,Cardiff,3,3
9537,Arsenal,Man City,1,1
9536,West Ham,Hull,2,1
9535,Liverpool,Sunderland,2,1
9532,Arsenal,Swansea,2,2
9533,Man Utd,Man City,0,3
9534,Newcastle,Everton,0,3
9530,Aston Villa,Stoke,1,4
9531,Spurs,Southampton,3,2
9523,Chelsea,Arsenal,6,0
9522,Cardiff,Liverpool,3,6
9524,Everton,Swansea,3,2
9525,Hull,West Brom,2,0
9526,Man City,Fulham,5,0
9527,Newcastle,Crystal Palace,1,0
9528,Norwich,Sunderland,2,0
9529,West Ham,Man Utd,0,2
9520,Man Utd,Liverpool,0,3
9521,Spurs,Arsenal,0,1
9515,Hull,Man City,0,2
9513,Everton,Cardiff,2,1
9514,Fulham,Newcastle,1,0
9516,Southampton,Norwich,4,2
9517,Stoke,West Ham,3,1
9518,Sunderland,Crystal Palace,0,0
9519,Swansea,West Brom,1,2
9512,Aston Villa,Chelsea,1,0
9511,West Brom,Man Utd,0,3
9507,Cardiff,Fulham,3,1
9509,Crystal Palace,Southampton,0,1
9510,Norwich,Stoke,1,1
9508,Chelsea,Spurs,4,0
9504,Aston Villa,Norwich,4,1
9505,Swansea,Crystal Palace,1,1
9506,Spurs,Cardiff,1,0
9499,Everton,West Ham,1,0
9500,Fulham,Chelsea,1,3
9501,Hull,Newcastle,1,4
9503,Stoke,Arsenal,1,0
9502,Southampton,Liverpool,0,3
9496,Liverpool,Swansea,4,3
9497,Newcastle,Aston Villa,1,0
9498,Norwich,Spurs,1,0
9489,Arsenal,Sunderland,4,1
9490,Cardiff,Hull,0,4
9493,Man City,Stoke,1,0
9494,West Brom,Fulham,1,1
9492,Crystal Palace,Man Utd,0,2
