MatchID,Home_team,Away_team,Score_home,Score_away
9981,Arsenal,West Brom,4,1
9982,Aston Villa,Burnley,0,1
9983,Chelsea,Sunderland,3,1
9984,Crystal Palace,Swansea,1,0
9985,Everton,Spurs,0,1
9986,Hull,Man Utd,0,0
9987,Leicester,QPR,5,1
9988,Man City,Southampton,2,0
9989,Newcastle,West Ham,2,0
9990,Stoke,Liverpool,6,1
9980,Arsenal,Sunderland,0,0
9979,West Brom,Chelsea,3,0
9978,Swansea,Man City,2,4
9977,Man Utd,Arsenal,1,1
9973,Southampton,Aston Villa,6,1
9970,Burnley,Stoke,0,0
9972,QPR,Newcastle,2,1
9974,Sunderland,Leicester,0,0
9975,Spurs,Hull,2,0
9976,West Ham,Everton,1,2
9971,Liverpool,Crystal Palace,1,3
9969,Arsenal,Swansea,0,1
9968,Man City,QPR,6,0
9967,Chelsea,Liverpool,1,1
9962,Everton,Sunderland,0,2
9960,Aston Villa,West Ham,1,0
9963,Hull,Burnley,0,1
9964,Leicester,Southampton,2,0
9965,Newcastle,West Brom,1,1
9966,Stoke,Spurs,3,0
9961,Crystal Palace,Man Utd,1,2
9959,Hull,Arsenal,1,3
9957,Chelsea,Crystal Palace,1,0
9958,Spurs,Man City,0,1
9950,Aston Villa,Everton,3,2
9952,Liverpool,QPR,2,1
9954,Sunderland,Southampton,2,1
9955,Swansea,Stoke,2,0
9956,West Ham,Burnley,1,0
9953,Man Utd,West Brom,0,1
9951,Leicester,Newcastle,3,0
9949,Leicester,Chelsea,1,3
9948,Hull,Liverpool,1,0
9947,Everton,Man Utd,3,0
9946,Arsenal,Chelsea,0,0
9943,Southampton,Spurs,2,2
9938,Burnley,Leicester,0,1
9939,Crystal Palace,Hull,0,2
9941,Newcastle,Swansea,2,3
9942,QPR,West Ham,0,0
9944,Stoke,Sunderland,1,1
9945,West Brom,Liverpool,0,0
9940,Man City,Aston Villa,3,2
9936,Man City,West Ham,2,0
9937,Newcastle,Spurs,1,3
9932,Crystal Palace,West Brom,0,2
9933,Everton,Burnley,1,0
9934,Leicester,Swansea,2,0
9935,Stoke,Southampton,2,1
9931,Chelsea,Man Utd,1,0
9930,Liverpool,Newcastle,2,0
9929,QPR,Chelsea,0,1
9928,Man Utd,Man City,4,2
9924,Swansea,Everton,1,1
